Year,Country,Cases
Burkina Faso,2023,146878
Cape Verde,2009,21313
Ethiopia,2023,14249
Eritrea,2011,14195
Eritrea,2010,12946
Eritrea,2012,12939
Eritrea,2013,12503
Ethiopia,2013,11409
Eritrea,2014,10889
Burkina Faso,2017,9029
Tanzania,2019,6917
Eritrea,2015,6871
Reunion,2018,6770
Seychelles,2018,6120
Eritrea,2005,4481
Mali,2023,4427
Seychelles,2017,4068
Cote d'Ivoire,2023,3895
Sudan,2010,3765
Cote d'Ivoire,2019,3201
Senegal,2018,2981
Eritrea,2009,2947
Burkina Faso,2016,2929
Madagascar,2006,2942
Kenya,2022,2426
Tanzania,2014,2121
Sudan,2023,1664
Chad,2023,1581
Kenya,2017,1537
Cote d'Ivoire,2017,1421
Burkina Faso,2016,1327
Eritrea,2008,1284
Ethiopia,2019,1251
Angola,2013,1214
Sao Tome and Principe,2022,1150
Seychelles,2016,1062
Kenya,2014,1022
Kenya,2021,867
Senegal,2018,832
Cameroon,2017,791
Comoros,2020,696
Senegal,2009,696
Eritrea,2007,662
Kenya,2019,660
Egypt,2023,578
Kenya,2016,560
Sudan,2015,560
Nigeria,2014,526
Tanzania,2013,431
Mali,2017,429
Cape Verde,2023,410
Angola,2017,401
Burkina Faso,2015,399
Sudan,2019,395
Eritrea,2006,388
Somalia,2011,368
Djibouti,2012,354
Cameroon,2015,349
Mauritania,2018,322
Cameroon,2020,320
Sudan,2005,312
Cameroon,2019,310
Mauritania,2017,307
Gabon,2010,288
Kenya,2013,267
Mauritius,2019,265
Mauritius,2023,265
Democratic Republic of Congo,2016,253
Egypt,2015,253
Reunion,2016,231
Tanzania,2018,226
Senegal,2023,203
Mauritius,2009,200
Senegal,2022,196
Mozambique,2015,192
South Sudan,2014,155
Ghana,2018,150
Niger,2023,148
Comoros,1993,146
Senegal,2017,145
Egypt,2017,144
Nigeria,2018,130
Sudan,2016,106
Senegal,2015,104
Ethiopia,2017,101
Reunion,2017,97
Sudan,2017,90
Angola,2021,86
Senegal,2021,86
Nigeria,2020,82
Sudan,2019,76
Mali,2008,72
Nigeria,2023,72
Sao Tome and Principe,2023,69
Gabon,2007,68
Madagascar,2006,55
Madagascar,2008,55
Djibouti,1991,46
Reunion,2019,30
Benin,2019,26
Mali,2019,20
Ghana,2023,18
Cote d'Ivoire,2022,11
Gabon,2008,11
Gabon,2009,9
Togo,2023,8
Cote d'Ivoire,2010,7
Mauritania,2020,7
Benin,2023,6
Guinea,2023,6
Senegal,2019,6
Cote d'Ivoire,2021,4
Angola,2023,3
Senegal,1990,2
Niger,2022,1
