Country,Resolution,Start time,End time,Count,Source,Details
Kenya,Weekly,30/12/2012,05/01/2013,2,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,06/01/2013,12/01/2013,3,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,13/01/2013,19/01/2013,0,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,20/01/2013,26/01/2013,4,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,27/01/2013,02/02/2013,0,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,03/02/2013,09/02/2013,4,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,10/02/2013,16/02/2013,0,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,17/02/2013,23/02/2013,0,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,24/02/2013,02/03/2013,2,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,03/03/2013,09/03/2013,6,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,10/03/2013,16/03/2013,7,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,17/03/2013,23/03/2013,10,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,24/03/2013,30/03/2013,24,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,31/03/2013,06/04/2013,36,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,07/04/2013,13/04/2013,40,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,14/04/2013,20/04/2013,32,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Kenya,Weekly,21/04/2013,27/04/2013,4,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0003733#sec009,Figure 1
Sudan,Daily,17/09/2014,17/09/2014,1,https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article,Figure 1
Sudan,Daily,23/09/2014,23/09/2014,2,https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article,Figure 1
Sudan,Daily,24/09/2014,24/09/2014,2,https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article,Figure 1
Sudan,Daily,01/10/2014,01/10/2014,1,https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article,Figure 1
Sudan,Daily,02/10/2014,02/10/2014,1,https://wwwnc.cdc.gov/eid/article/25/11/18-1766_article,Figure 1
