"adm_0_name","Year","Month","dengue_total","source_file"
"Cook Islands",1990,1,0,"SPEHSIS"
"Cook Islands",1990,2,0,"SPEHSIS"
"Cook Islands",1990,3,0,"SPEHSIS"
"Cook Islands",1990,4,0,"SPEHSIS"
"Cook Islands",1990,5,0,"SPEHSIS"
"Cook Islands",1990,6,0,"SPEHSIS"
"Cook Islands",1990,7,0,"SPEHSIS"
"Cook Islands",1990,8,2,"SPEHSIS"
"Cook Islands",1990,9,0,"SPEHSIS"
"Cook Islands",1990,10,0,"SPEHSIS"
"Cook Islands",1990,11,0,"SPEHSIS"
"Cook Islands",1990,12,0,"SPEHSIS"
"Fed. States of Micronesia",1990,1,0,"SPEHSIS"
"Fed. States of Micronesia",1990,6,11,"SPEHSIS"
"Fed. States of Micronesia",1990,7,0,"SPEHSIS"
"Fed. States of Micronesia",1990,8,0,"SPEHSIS"
"Fed. States of Micronesia",1990,9,2,"SPEHSIS"
"Fiji",1990,1,591,"SPEHSIS"
"Fiji",1990,2,283,"SPEHSIS"
"Fiji",1990,3,413,"SPEHSIS"
"Fiji",1990,4,93,"SPEHSIS"
"Fiji",1990,5,50,"SPEHSIS"
"Fiji",1990,6,18,"SPEHSIS"
"Fiji",1990,7,13,"SPEHSIS"
"Fiji",1990,8,3,"SPEHSIS"
"Fiji",1990,9,0,"SPEHSIS"
"Fiji",1990,10,0,"SPEHSIS"
"Fiji",1990,11,0,"SPEHSIS"
"Fiji",1990,12,9,"SPEHSIS"
"French Polynesia",1990,1,1129,"SPEHSIS"
"French Polynesia",1990,2,561,"SPEHSIS"
"French Polynesia",1990,3,624,"SPEHSIS"
"French Polynesia",1990,4,348,"SPEHSIS"
"French Polynesia",1990,5,248,"SPEHSIS"
"French Polynesia",1990,6,164,"SPEHSIS"
"French Polynesia",1990,7,102,"SPEHSIS"
"French Polynesia",1990,8,115,"SPEHSIS"
"French Polynesia",1990,9,56,"SPEHSIS"
"French Polynesia",1990,10,19,"SPEHSIS"
"French Polynesia",1990,11,110,"SPEHSIS"
"French Polynesia",1990,12,129,"SPEHSIS"
"Kiribati",1990,1,0,"SPEHSIS"
"Kiribati",1990,2,9,"SPEHSIS"
"Kiribati",1990,3,0,"SPEHSIS"
"Kiribati",1990,4,0,"SPEHSIS"
"Kiribati",1990,5,0,"SPEHSIS"
"Kiribati",1990,6,0,"SPEHSIS"
"Kiribati",1990,7,0,"SPEHSIS"
"Kiribati",1990,8,0,"SPEHSIS"
"Kiribati",1990,9,0,"SPEHSIS"
"Kiribati",1990,10,0,"SPEHSIS"
"Kiribati",1990,11,0,"SPEHSIS"
"Kiribati",1990,12,0,"SPEHSIS"
"New Caledonia",1990,1,14,"SPEHSIS"
"New Caledonia",1990,2,78,"SPEHSIS"
"New Caledonia",1990,3,77,"SPEHSIS"
"New Caledonia",1990,4,93,"SPEHSIS"
"New Caledonia",1990,5,30,"SPEHSIS"
"New Caledonia",1990,6,25,"SPEHSIS"
"New Caledonia",1990,7,5,"SPEHSIS"
"New Caledonia",1990,8,0,"SPEHSIS"
"New Caledonia",1990,9,1,"SPEHSIS"
"New Caledonia",1990,10,1,"SPEHSIS"
"New Caledonia",1990,11,1,"SPEHSIS"
"New Caledonia",1990,12,1,"SPEHSIS"
"Tokelau",1990,1,43,"SPEHSIS"
"Tokelau",1990,2,0,"SPEHSIS"
"Tokelau",1990,3,0,"SPEHSIS"
"Tokelau",1990,4,0,"SPEHSIS"
"Tokelau",1990,5,0,"SPEHSIS"
"Tokelau",1990,6,0,"SPEHSIS"
"Tokelau",1990,7,0,"SPEHSIS"
"Tokelau",1990,8,0,"SPEHSIS"
"Tokelau",1990,9,0,"SPEHSIS"
"Tokelau",1990,10,0,"SPEHSIS"
"Tokelau",1990,11,0,"SPEHSIS"
"Tokelau",1990,12,0,"SPEHSIS"
"Tonga",1990,1,12,"SPEHSIS"
"Tonga",1990,2,12,"SPEHSIS"
"Tonga",1990,3,43,"SPEHSIS"
"Tonga",1990,4,0,"SPEHSIS"
"Tonga",1990,5,170,"SPEHSIS"
"Tonga",1990,6,61,"SPEHSIS"
"Tonga",1990,7,0,"SPEHSIS"
"Tonga",1990,8,0,"SPEHSIS"
"Tonga",1990,9,0,"SPEHSIS"
"Tonga",1990,10,0,"SPEHSIS"
"Tonga",1990,11,0,"SPEHSIS"
"Tonga",1990,12,0,"SPEHSIS"
"Tuvalu",1990,1,10,"SPEHSIS"
"Tuvalu",1990,2,0,"SPEHSIS"
"Tuvalu",1990,3,0,"SPEHSIS"
"Tuvalu",1990,4,0,"SPEHSIS"
"Tuvalu",1990,5,0,"SPEHSIS"
"Tuvalu",1990,6,0,"SPEHSIS"
"Tuvalu",1990,7,0,"SPEHSIS"
"Tuvalu",1990,8,0,"SPEHSIS"
"Tuvalu",1990,9,0,"SPEHSIS"
"Tuvalu",1990,10,0,"SPEHSIS"
"Tuvalu",1990,11,0,"SPEHSIS"
"Tuvalu",1990,12,0,"SPEHSIS"
"Vanuatu",1990,1,449,"SPEHSIS"
"Vanuatu",1990,2,305,"SPEHSIS"
"Vanuatu",1990,3,80,"SPEHSIS"
"Vanuatu",1990,4,5,"SPEHSIS"
"Vanuatu",1990,5,69,"SPEHSIS"
"Vanuatu",1990,6,13,"SPEHSIS"
"Vanuatu",1990,7,10,"SPEHSIS"
"Vanuatu",1990,8,25,"SPEHSIS"
"Vanuatu",1990,9,14,"SPEHSIS"
"Vanuatu",1990,10,6,"SPEHSIS"
"Vanuatu",1990,11,11,"SPEHSIS"
"Vanuatu",1990,12,2,"SPEHSIS"
"Wallis and Futuna",1990,1,23,"SPEHSIS"
"Wallis and Futuna",1990,2,25,"SPEHSIS"
"Wallis and Futuna",1990,3,16,"SPEHSIS"
"Wallis and Futuna",1990,4,9,"SPEHSIS"
"Wallis and Futuna",1990,5,2,"SPEHSIS"
"Wallis and Futuna",1990,6,2,"SPEHSIS"
"Wallis and Futuna",1990,7,0,"SPEHSIS"
"Wallis and Futuna",1990,8,0,"SPEHSIS"
"Wallis and Futuna",1990,9,0,"SPEHSIS"
"Wallis and Futuna",1990,10,0,"SPEHSIS"
"Wallis and Futuna",1990,11,0,"SPEHSIS"
"Wallis and Futuna",1990,12,0,"SPEHSIS"
"Western Samoa",1990,1,38,"SPEHSIS"
"Western Samoa",1990,2,6,"SPEHSIS"
"Western Samoa",1990,3,3,"SPEHSIS"
"Western Samoa",1990,4,2,"SPEHSIS"
"Western Samoa",1990,5,0,"SPEHSIS"
"Western Samoa",1990,6,0,"SPEHSIS"
"Western Samoa",1990,7,0,"SPEHSIS"
"Western Samoa",1990,8,0,"SPEHSIS"
"Western Samoa",1990,9,0,"SPEHSIS"
"Western Samoa",1990,10,0,"SPEHSIS"
"Western Samoa",1990,11,0,"SPEHSIS"
"Western Samoa",1990,12,0,"SPEHSIS"
"Cook Islands",1991,1,2,"SPEHSIS"
"Cook Islands",1991,2,304,"SPEHSIS"
"Cook Islands",1991,3,394,"SPEHSIS"
"Cook Islands",1991,4,352,"SPEHSIS"
"Cook Islands",1991,5,148,"SPEHSIS"
"Cook Islands",1991,6,243,"SPEHSIS"
"Cook Islands",1991,7,264,"SPEHSIS"
"Cook Islands",1991,8,54,"SPEHSIS"
"Cook Islands",1991,9,8,"SPEHSIS"
"Cook Islands",1991,10,2,"SPEHSIS"
"Cook Islands",1991,11,4,"SPEHSIS"
"Cook Islands",1991,12,1,"SPEHSIS"
"Fiji",1991,1,29,"SPEHSIS"
"Fiji",1991,2,4,"SPEHSIS"
"Fiji",1991,3,0,"SPEHSIS"
"Fiji",1991,4,22,"SPEHSIS"
"Fiji",1991,5,0,"SPEHSIS"
"Fiji",1991,6,9,"SPEHSIS"
"Fiji",1991,7,0,"SPEHSIS"
"Fiji",1991,8,0,"SPEHSIS"
"Fiji",1991,9,1,"SPEHSIS"
"Fiji",1991,10,0,"SPEHSIS"
"Fiji",1991,11,0,"SPEHSIS"
"Fiji",1991,12,0,"SPEHSIS"
"French Polynesia",1991,1,56,"SPEHSIS"
"French Polynesia",1991,2,108,"SPEHSIS"
"French Polynesia",1991,3,44,"SPEHSIS"
"French Polynesia",1991,4,28,"SPEHSIS"
"French Polynesia",1991,5,23,"SPEHSIS"
"French Polynesia",1991,6,44,"SPEHSIS"
"French Polynesia",1991,7,52,"SPEHSIS"
"French Polynesia",1991,8,35,"SPEHSIS"
