adm_0_name,Year,dengue_total,source_file,Notes
AMERICAN SAMOA,2013,0,,ARBONET
AMERICAN SAMOA,2014,0,,ARBONET
AMERICAN SAMOA,2020,0,,ARBONET
AMERICAN SAMOA,2021,0,,ARBONET
AMERICAN SAMOA,2022,1,,ARBONET
AMERICAN SAMOA,2023,0,,ARBONET
ANGOLA,2023,3,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
AUSTRALIA,1990,84,https://www.sciencedirect.com/science/article/abs/pii/S0031302516357750 and CDI journals https://ojs.cdi.cdc.gov.au/index.php/cdi/issue/view/37,probably including imported cases tho
BENIN,2023,6,https://iris.who.int/bitstream/handle/10665/375392/AFRO.Dengue.Sitrep001-20231219.pdf,
"BONAIRE, SAINT EUSTATIUS AND SABA",2014,0,https://www.carpha.org/Portals/0/Documents/State-of-Public-Health-in-the-Caribbean-2014-2016.pdf,
"BONAIRE, SAINT EUSTATIUS AND SABA",2015,0,https://www.carpha.org/Portals/0/Documents/State-of-Public-Health-in-the-Caribbean-2014-2016.pdf,
"BONAIRE, SAINT EUSTATIUS AND SABA",2016,0,https://www.carpha.org/Portals/0/Documents/State-of-Public-Health-in-the-Caribbean-2014-2016.pdf,
BRUNEI DARUSSALAM,1994,38,https://pubmed.ncbi.nlm.nih.gov/17642533/,digitise the fig2
BRUNEI DARUSSALAM,1996,2,https://pubmed.ncbi.nlm.nih.gov/17642533/,digitise the fig2
BRUNEI DARUSSALAM,1997,2,https://pubmed.ncbi.nlm.nih.gov/17642533/,digitise the fig2
BURKINA FASO,2023,237291,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
CABO VERDE,2023,65,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
CHAD,2023,1581,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
COTE D'IVOIRE,2023,107,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
CROATIA,2010,10,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2011,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2012,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2013,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2014,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2015,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2016,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2017,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2018,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2019,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2020,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2021,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2022,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2023,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
CROATIA,2024,0,https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea,
EGYPT,2023,578,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
ETHIOPIA,2023,21469,https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962,
