"UUID","metadata_description","metadata_url","metadata_steps"
"AFRCDC-ALL-2023-W01-20231231","Africa CDC Epidemic Intelligence Report","https://africacdc.org/download/africa-cdc-weekly-event-based-surveillance-report-december-2023/?ind=1705041410922&filename=Africa_CDC_EBS_Weekly_Report_31_Dec_2023.pdf&wpdmdl=15339&refresh=687f385a52e791753167962","Data of issue: 31 Dec 2023"
"ECDC-ALL-20102024-Y01-00","ECDC surveillance and updates","https://www.ecdc.europa.eu/en/all-topics-z/dengue/surveillance-and-disease-data/autochthonous-transmission-dengue-virus-eueea-previous-years","Home > Infectious disease topics > Dengue > Surveillence and updates > Historical data on local transmission in the EU/EEA"
"ECDC-ALL-2019-Y02-00","ECDC rapid risk assessment","https://www.ecdc.europa.eu/en/publications-data/rapid-risk-assessment-autochthonous-cases-dengue-spain-and-france",NA
"ECDC-PRT-20122013-Y01-00","ECDC mission report","https://www.ecdc.europa.eu/sites/default/files/media/en/publications/Publications/dengue-madeira-ECDC-mission-2013.pdf",NA
"LITERATURE-AFG-19902018-Y01-01",NA,"https://pubmed.ncbi.nlm.nih.gov/39801334/",NA
"LITERATURE-AFG-2019-Y01-00",NA,"https://www.ijidonline.com/article/S1201-9712(20)30577-4/fulltext",NA
"LITERATURE-AFG-20192021-Y01-02",NA,"https://doi.org/10.1093/eurpub/ckae116",NA
"LITERATURE-AGO-2013-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC4517701/",NA
"LITERATURE-AGO-2013-Y01-01",NA,"https://www.cdc.gov/mmwr/preview/mmwrhtml/mm6224a6.htm","Figure 1"
"LITERATURE-ALL-2006-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC2600361/pdf/07-1521_finalD.pdf","Figure 2"
"LITERATURE-ALL-2011-Y01-00","Western Pacific Surveillance and Response Journal","https://ojs.wpro.who.int/ojs/index.php/wpsar/search/index?query=dengue&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=",NA
"LITERATURE-ALL-20112019-Y01-02","Western Pacific Surveillance and Response Journal","https://ojs.wpro.who.int/ojs/index.php/wpsar/search/index?query=dengue&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=","Table 3"
"LITERATURE-ALL-2012-Y01-01","Western Pacific Surveillance and Response Journal","https://ojs.wpro.who.int/ojs/index.php/wpsar/search/index?query=dengue&dateFromYear=&dateFromMonth=&dateFromDay=&dateToYear=&dateToMonth=&dateToDay=&authors=",NA
"LITERATURE-ALL-20132023-Y01-02",NA,"https://doi.org/10.1016/j.tmaid.2025.102897",NA
"LITERATURE-ALL-2016-Y01-01",NA,"https://doi.org/10.1371/journal.pntd.0012022","digitised figure 7"
"LITERATURE-AUS-1990-Y01-00",NA,"https://doi.org/10.1016/S0031-3025(16)35775-0","probably including imported cases tho"
"LITERATURE-BFA-20162019-Y01-00",NA,"https://doi.org/10.1186/s12889-022-12820-x","Figure 4"
"LITERATURE-BGD-20152021-Y01-00",NA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10883285/#sup1","Supplementary Table 3."
"LITERATURE-BRN-19901993-Y01-00",NA,"https://www.jstage.jst.go.jp/article/yoken/60/4/60_JJID.2007.205/_pdf",NA
"LITERATURE-BRN-19941997-Y01-01",NA,"https://pubmed.ncbi.nlm.nih.gov/17642533/","digitise the fig2"
"LITERATURE-CHN-2020-Y01-00",NA,"https://www.mdpi.com/1660-4601/19/7/3910","local cases only"
"LITERATURE-CIV-2017-Y01-00",NA,"https://he02.tci-thaijo.org/index.php/OSIR/article/view/262527/179010","Figure 2"
"LITERATURE-COM-1993-Y01-00",NA,"https://lib.itg.be/open/asbmt/1994/1994asbm0217.pdf",NA
"LITERATURE-CPV-2009-Y01-00","ANNUAL REPORT OF  THE RESIDENT/HUMANITARIAN COORDINATOR  ON THE USE OF CERF GRANTS","https://cerf.un.org/sites/default/files/resources/Cape%20Verde%202009%20RCHC%20Annual%20Report.pdf","Figure"
"LITERATURE-CPV-2009-Y02-00",NA,"https://pubmed.ncbi.nlm.nih.gov/23199267/#:~:text=At%20the%20end%20of%202009,ever%20reported%20in%20Cape%20Verde.",NA
"LITERATURE-DJI-1991-Y01-00",NA,"https://doi.org/10.1016/S0035-9203(96)90228-X",NA
"LITERATURE-DJI-2012-Y01-01",NA,"https://doi.org/10.1371/journal.pntd.0004755",NA
