"country_year","adm_0_name","Year","data_source","T_res","n_record","prop","cat_model","region","ees","ISO_A0","annual_total"
"AFGHANISTAN_1990","AFGHANISTAN",1990,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1991","AFGHANISTAN",1991,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1992","AFGHANISTAN",1992,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1993","AFGHANISTAN",1993,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1994","AFGHANISTAN",1994,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1995","AFGHANISTAN",1995,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1996","AFGHANISTAN",1996,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1997","AFGHANISTAN",1997,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1998","AFGHANISTAN",1998,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_1999","AFGHANISTAN",1999,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2000","AFGHANISTAN",2000,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2001","AFGHANISTAN",2001,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2002","AFGHANISTAN",2002,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2003","AFGHANISTAN",2003,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2004","AFGHANISTAN",2004,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2005","AFGHANISTAN",2005,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2006","AFGHANISTAN",2006,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2007","AFGHANISTAN",2007,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2008","AFGHANISTAN",2008,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2009","AFGHANISTAN",2009,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2010","AFGHANISTAN",2010,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2011","AFGHANISTAN",2011,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2012","AFGHANISTAN",2012,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2013","AFGHANISTAN",2013,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2014","AFGHANISTAN",2014,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2015","AFGHANISTAN",2015,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2016","AFGHANISTAN",2016,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2017","AFGHANISTAN",2017,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2018","AFGHANISTAN",2018,"first_year","Year",1,1,"No_modelling_required","EMRO",FALSE,"AFG",0
"AFGHANISTAN_2019","AFGHANISTAN",2019,"ad_hoc_data","Month",12,1,"No_modelling_required","EMRO",FALSE,"AFG",19
"AFGHANISTAN_2020","AFGHANISTAN",2020,"ees","Year",1,1,"No_modelling_required","EMRO",TRUE,"AFG",0
"AFGHANISTAN_2021","AFGHANISTAN",2021,"ad_hoc_data","Year",1,1,"Annual_disaggregation","EMRO",FALSE,"AFG",775
"AFGHANISTAN_2022","AFGHANISTAN",2022,"OD","Month",12,1,"No_modelling_required","EMRO",FALSE,"AFG",1341
"AFGHANISTAN_2023","AFGHANISTAN",2023,"ad_hoc_data","Week",52,1,"No_modelling_required","EMRO",FALSE,"AFG",1497
