adm_0_name,first_year,Source,Notes
Afghanistan,2019,LITERATURE-AFG-19902018-Y01-01,"Dengue fever is considered as an emerging disease in Afghanistan. Since the first outbreak was reported in 2019, other outbreaks have been reported in the following years."
Brunei Darussalam,1994,LITERATURE-BRN-19901993-Y01-00,table 2 in this paper- longitudinal IgM sampling since 1992 
Cabo Verde,2009,LITERATURE-CPV-2009-Y01-00,"In the last three months of 2009, Cape Verde suffered its first outbreak of dengue.  "
Chad,2023,WHO-TCD-19902022-Y01-00,This is the first dengue outbreak reported in Chad
Croatia,2010,ECDC-ALL-20102024-Y01-00,
EThiopia,2013,LITERATURE-ETH-19902012-Y01-02,"In Ethiopia, DF was diagnosed only among travelers that return to countries to which dengue was not endemic but never reported as occurring locally (1, 14, 15) and it is also not included among the lists of national reportable diseases (16)."" "
France,2010,ECDC-ALL-20102024-Y01-00,
Guam,2019,LITERATURE-GUM-19902016-Y01-00,"On September 9, 2019, a resident of Guam with no travel history experienced a dengue-like illness that was reported to the Guam Department of Public Health and Social Services (DPHSS). On September 10, 2019, the Guam Public Health Laboratory (PHL) detected dengue virus 3 (DENV-3) in the patient’s serum specimen by reverse transcription–polymerase chain reaction (RT-PCR). This was the first detection of a locally acquired dengue case on Guam since 1944 (1)."
Hong Kong,2002,LITERATURE-HKG-19901993-Y01-00,"""Despite the successful dengue control measures introduced after the first local case was identified in Hong Kong in 2002"""
Italy,2020,ECDC-ALL-20102024-Y01-00,
Japan,2014,LITERATURE-JPN-19902012-Y01-00,"""In 2014, an autochthonous dengue fever outbreak occurred around the Yoyogi Park in Japan for the first time in 70 years."
Macau,2001,MOH-MAC-20192023-Y02-00,"""In 2001, the first dengue fever outbreak occurred in Macau"""
Oman,2018,LITERATURE-OMN-2019-Y01-00,"Between 2001 and 2017, 173 cases were reported, and all were travel-related.8,9 "
Pakistan,1994,LITERATURE-PAK-19901993-Y01-00,"""Pakistan first reported an epidemic of dengue fever in 1994"""
Portugal,2012,ECDC-ALL-20102024-Y01-00,
Spain,2018,ECDC-ALL-20102024-Y01-00,
Iran ,2024,LITERATURE-IRN-19902023-Y01-01,
