"country_year","T_res","selected_column","final_count","final_sum","a0_count","a0_sum","a1_count","a1_sum","a2_count","a2_sum","relationship_category","pct_of_annual","annual_total","subannual_is_complete"
"AFGHANISTAN_1990","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1994","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1995","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1996","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1998","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_1999","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2000","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2001","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2002","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2006","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2007","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2008","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2009","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2010","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2011","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2012","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2013","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2014","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2015","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2016","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2017","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2018","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AFGHANISTAN_2019","Year","a0",1,19,1,19,NA,NA,NA,NA,"Annual > sub-annual",36.8421052631579,19,TRUE
"AFGHANISTAN_2021","Year","a0",1,775,1,775,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",94.7096774193548,775,FALSE
"AFGHANISTAN_2022","Month","a0",12,1341,12,1341,NA,NA,NA,NA,"Sub-annual >= Annual",105.924170616114,1341,TRUE
"AFGHANISTAN_2023","Week","a0",52,1497,52,1497,NA,NA,NA,NA,"Sub-annual >= Annual",100.066844919786,1497,TRUE
"AFGHANISTAN_2024","Month","a0",12,4722,12,4722,NA,NA,NA,NA,"Sub-annual >= Annual",100,4722,TRUE
"AMERICAN SAMOA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_1994","Year","a0",1,246,1,246,NA,NA,NA,NA,"Case 1: Annual only",NA,246,NA
"AMERICAN SAMOA_1995","Year","a0",1,246,1,246,NA,NA,NA,NA,"Case 1: Annual only",NA,246,NA
"AMERICAN SAMOA_1996","Year","a0",1,49,1,49,NA,NA,NA,NA,"Case 1: Annual only",NA,49,NA
"AMERICAN SAMOA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_1998","Year","a0",1,205,1,205,NA,NA,NA,NA,"Case 1: Annual only",NA,205,NA
"AMERICAN SAMOA_1999","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"AMERICAN SAMOA_2000","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2001","Year","a0",1,500,1,500,NA,NA,NA,NA,"Case 1: Annual only",NA,500,NA
"AMERICAN SAMOA_2002","Year","a0",1,1185,1,1185,NA,NA,NA,NA,"Case 1: Annual only",NA,1185,NA
"AMERICAN SAMOA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2006","Year","a0",1,53,1,53,NA,NA,NA,NA,"Case 1: Annual only",NA,53,NA
"AMERICAN SAMOA_2007","Year","a0",1,126,1,126,NA,NA,NA,NA,"Case 1: Annual only",NA,126,NA
"AMERICAN SAMOA_2008","Year","a0",1,649,1,649,NA,NA,NA,NA,"Case 1: Annual only",NA,649,NA
"AMERICAN SAMOA_2009","Year","a0",1,419,1,419,NA,NA,NA,NA,"Case 1: Annual only",NA,419,NA
"AMERICAN SAMOA_2010","Year","a0",1,51,1,51,NA,NA,NA,NA,"Case 1: Annual only",NA,51,NA
"AMERICAN SAMOA_2011","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2012","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2013","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2014","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2015","Year","a0",1,479,1,479,NA,NA,NA,NA,"Case 1: Annual only",NA,479,NA
"AMERICAN SAMOA_2016","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2017","Week","a0",9,111,9,111,NA,NA,NA,NA,"Case 2: Sub-annual only",NA,111,FALSE
"AMERICAN SAMOA_2018","Week","a0",3,0,3,0,NA,NA,NA,NA,"Case 2: Sub-annual only",NA,0,FALSE
"AMERICAN SAMOA_2019","Week","a0",4,4,4,4,NA,NA,NA,NA,"Case 2: Sub-annual only",NA,4,FALSE
"AMERICAN SAMOA_2020","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2021","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2022","Year","a0",1,1,1,1,NA,NA,NA,NA,"Case 1: Annual only",NA,1,NA
"AMERICAN SAMOA_2023","Year","a0",1,0,1,0,NA,NA,NA,NA,"Case 1: Annual only",NA,0,NA
"AMERICAN SAMOA_2024","Week","a0",40,0,40,0,NA,NA,NA,NA,"Case 2: Sub-annual only",NA,0,FALSE
"ANGOLA_2013","Year","a0",1,1214,1,1214,NA,NA,NA,NA,"Incomplete sub-annual - annual selected",42.339373970346,1214,FALSE
"ANGOLA_2017","Year","a0",1,401,1,401,NA,NA,NA,NA,"Case 1: Annual only",NA,401,NA
"ANGOLA_2021","Year","a0",1,86,1,86,NA,NA,NA,NA,"Case 1: Annual only",NA,86,NA
"ANGOLA_2023","Year","a0",1,3,1,3,NA,NA,NA,NA,"Case 1: Annual only",NA,3,NA
"ANGOLA_2024","Month","a0",12,86,12,86,NA,NA,NA,NA,"Case 2: Sub-annual only",NA,86,TRUE
"ANGUILLA_1990","Year","a0",1,12,1,12,NA,NA,NA,NA,"Case 1: Annual only",NA,12,NA
