"country_year","T_res","selected_column","final_count","final_sum","a0_count","a0_sum","a1_count","a1_sum","a2_count","a2_sum","subannual_is_complete","relationship_category","pct_of_annual","annual_total"
"AFGHANISTAN_2021","Week","a0",16,734,16,734,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,734
"AFGHANISTAN_2022","Month","a0",12,1341,12,1341,NA,NA,NA,NA,TRUE,"Case 2: Sub-annual only",NA,1341
"AFGHANISTAN_2023","Month","a0",11,1253,11,1253,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,1253
"AFGHANISTAN_2024","Month","a0",9,4174,9,4174,NA,NA,NA,NA,FALSE,"Case 2: Sub-annual only",NA,4174
"AMERICAN SAMOA_1991","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_1992","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_1993","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_1994","Year","a0",1,246,1,246,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,246
"AMERICAN SAMOA_1995","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_1996","Year","a0",1,49,1,49,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,49
"AMERICAN SAMOA_1997","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_1998","Year","a0",1,205,1,205,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,205
"AMERICAN SAMOA_1999","Year","a0",1,1,1,1,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1
"AMERICAN SAMOA_2000","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2001","Year","a0",1,500,1,500,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,500
"AMERICAN SAMOA_2002","Year","a0",1,1185,1,1185,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,1185
"AMERICAN SAMOA_2003","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2004","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2005","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2006","Year","a0",1,53,1,53,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,53
"AMERICAN SAMOA_2007","Year","a0",1,126,1,126,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,126
"AMERICAN SAMOA_2008","Year","a0",1,649,1,649,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,649
"AMERICAN SAMOA_2009","Year","a0",1,419,1,419,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,419
"AMERICAN SAMOA_2010","Year","a0",1,51,1,51,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,51
"AMERICAN SAMOA_2011","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2012","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
"AMERICAN SAMOA_2015","Year","a0",1,479,1,479,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,479
"AMERICAN SAMOA_2016","Year","a0",1,0,1,0,NA,NA,NA,NA,NA,"Case 1: Annual only",NA,0
