"Year","who_region","cases","source"
2000,"Global",505430,"WHO Reports"
2008,"Global",1279668,"WHO Reports"
2009,"Global",1451083,"WHO Reports"
2010,"Global",2400000,"WHO Reports"
2000,"WPRO",48034,"WHO Reports"
1990,"SEARO",121401,"WHO Reports"
2004,"WPRO",160823,"WHO Reports"
2005,"WPRO",159847,"WHO Reports"
2009,"WPRO",242424,"WHO Reports"
2010,"WPRO",353907,"WHO Reports"
1991,"SEARO",78742,"WHO Reports"
2011,"WPRO",244880,"WHO Reports"
2012,"WPRO",356838,"WHO Reports"
2013,"WPRO",430023,"WHO Reports"
2014,"WPRO",376972,"WHO Reports"
2019,"Global",5200000,"WHO Reports"
1992,"SEARO",63769,"WHO Reports"
2015,"WPRO",513574,"WHO Reports"
2020,"Global",2904920,"WHO Reports"
1993,"SEARO",98589,"WHO Reports"
2021,"Global",1465348,"WHO Reports"
2022,"Global",3503550,"WHO Reports"
2023,"AFRO",171991,"WHO Reports"
2023,"PAHO",4600086,"WHO Reports"
2019,"Global",5037403,"WHO Reports"
1994,"SEARO",90194,"WHO Reports"
2016,"WPRO",458843,"WHO Reports"
1995,"SEARO",106196,"WHO Reports"
1996,"SEARO",102248,"WHO Reports"
1997,"SEARO",139079,"WHO Reports"
1998,"SEARO",218821,"WHO Reports"
1999,"SEARO",54811,"WHO Reports"
2017,"WPRO",454231,"WHO Reports"
2000,"SEARO",63672,"WHO Reports"
2001,"SEARO",211039,"WHO Reports"
2002,"SEARO",188240,"WHO Reports"
2003,"SEARO",140635,"WHO Reports"
2004,"SEARO",152482,"WHO Reports"
2005,"SEARO",179918,"WHO Reports"
2006,"SEARO",189832,"WHO Reports"
2007,"SEARO",250458,"WHO Reports"
2008,"SEARO",281723,"WHO Reports"
2009,"SEARO",257882,"WHO Reports"
2010,"SEARO",355137,"WHO Reports"
2011,"SEARO",190000,"WHO Reports"
2012,"SEARO",257204,"WHO Reports"
2015,"SEARO",451442,"WHO Reports"
2019,"SEARO",684456,"WHO Reports"
2020,"SEARO",275786,"WHO Reports"
2018,"WPRO",479263,"WHO Reports"
2019,"WPRO",1050285,"WHO Reports"
1990,"PAHO",159141,"WHO Dengue Explorer"
1990,"SEARO",122477,"WHO Dengue Explorer"
1990,"WPRO",54959,"WHO Dengue Explorer"
1991,"PAHO",256459,"WHO Dengue Explorer"
1991,"SEARO",80025,"WHO Dengue Explorer"
1991,"WPRO",138167,"WHO Dengue Explorer"
1992,"PAHO",108129,"WHO Dengue Explorer"
1992,"SEARO",63769,"WHO Dengue Explorer"
1992,"WPRO",122230,"WHO Dengue Explorer"
1993,"PAHO",96100,"WHO Dengue Explorer"
1993,"SEARO",98595,"WHO Dengue Explorer"
1993,"WPRO",71714,"WHO Dengue Explorer"
1994,"PAHO",261047,"WHO Dengue Explorer"
1994,"SEARO",90194,"WHO Dengue Explorer"
1994,"WPRO",59568,"WHO Dengue Explorer"
1995,"PAHO",334820,"WHO Dengue Explorer"
1995,"SEARO",105777,"WHO Dengue Explorer"
1995,"WPRO",125282,"WHO Dengue Explorer"
1996,"PAHO",289630,"WHO Dengue Explorer"
1996,"SEARO",102229,"WHO Dengue Explorer"
1996,"WPRO",147433,"WHO Dengue Explorer"
1997,"PAHO",413393,"WHO Dengue Explorer"
1997,"SEARO",136030,"WHO Dengue Explorer"
1997,"WPRO",155049,"WHO Dengue Explorer"
1998,"PAHO",730645,"WHO Dengue Explorer"
1998,"SEARO",210405,"WHO Dengue Explorer"
1998,"WPRO",357185,"WHO Dengue Explorer"
1999,"PAHO",314254,"WHO Dengue Explorer"
1999,"SEARO",55405,"WHO Dengue Explorer"
1999,"WPRO",64534,"WHO Dengue Explorer"
2000,"PAHO",392858,"WHO Dengue Explorer"
2000,"SEARO",65542,"WHO Dengue Explorer"
2000,"WPRO",46805,"WHO Dengue Explorer"
2001,"PAHO",621214,"WHO Dengue Explorer"
2001,"SEARO",212734,"WHO Dengue Explorer"
2001,"WPRO",135696,"WHO Dengue Explorer"
2002,"PAHO",1008758,"WHO Dengue Explorer"
2002,"SEARO",188340,"WHO Dengue Explorer"
2002,"WPRO",112861,"WHO Dengue Explorer"
2003,"PAHO",502927,"WHO Dengue Explorer"
2003,"SEARO",140691,"WHO Dengue Explorer"
2003,"WPRO",155206,"WHO Dengue Explorer"
2004,"PAHO",263028,"WHO Dengue Explorer"
2004,"SEARO",152575,"WHO Dengue Explorer"
2004,"WPRO",160103,"WHO Dengue Explorer"
2005,"PAHO",427362,"WHO Dengue Explorer"
2005,"SEARO",179918,"WHO Dengue Explorer"
2005,"WPRO",163714,"WHO Dengue Explorer"
2006,"PAHO",551871,"WHO Dengue Explorer"
2006,"SEARO",190271,"WHO Dengue Explorer"
2006,"WPRO",184470,"WHO Dengue Explorer"
2007,"PAHO",900782,"WHO Dengue Explorer"
2007,"SEARO",250551,"WHO Dengue Explorer"
2007,"WPRO",267190,"WHO Dengue Explorer"
2008,"PAHO",908926,"WHO Dengue Explorer"
2008,"SEARO",282068,"WHO Dengue Explorer"
2008,"WPRO",212538,"WHO Dengue Explorer"
2009,"PAHO",1131520,"WHO Dengue Explorer"
2009,"SEARO",257882,"WHO Dengue Explorer"
2009,"WPRO",242094,"WHO Dengue Explorer"
2010,"PAHO",1687954,"WHO Dengue Explorer"
2010,"SEARO",355837,"WHO Dengue Explorer"
2010,"WPRO",353478,"WHO Dengue Explorer"
2011,"PAHO",1090738,"WHO Dengue Explorer"
2011,"SEARO",193033,"WHO Dengue Explorer"
2011,"WPRO",243605,"WHO Dengue Explorer"
2012,"PAHO",1160662,"WHO Dengue Explorer"
2012,"SEARO",274921,"WHO Dengue Explorer"
2012,"WPRO",297591,"WHO Dengue Explorer"
2013,"PAHO",2383406,"WHO Dengue Explorer"
2013,"SEARO",399487,"WHO Dengue Explorer"
2013,"WPRO",304620,"WHO Dengue Explorer"
2014,"PAHO",1193549,"WHO Dengue Explorer"
2014,"SEARO",245185,"WHO Dengue Explorer"
2014,"WPRO",326764,"WHO Dengue Explorer"
1990,"Global",336577,"WHO Dengue Explorer"
1991,"Global",474651,"WHO Dengue Explorer"
1992,"Global",294128,"WHO Dengue Explorer"
1993,"Global",266409,"WHO Dengue Explorer"
