Original_Index,Country,WHO_Region,Year,Cases,Deaths,DALY_2015_GHE,Population_1000s
2812,Singapore,WPRO,1990,1733,,0,3012953
2813,Singapore,WPRO,1991,2179,,,3096570
2814,Singapore,WPRO,1992,2878,,,3189433
2815,Singapore,WPRO,1993,946,0,,3287588
2816,Singapore,WPRO,1994,1239,1,,3385350
2817,Singapore,WPRO,1995,2008,1,,3478779
2818,Singapore,WPRO,1996,3128,3,,3566133
2819,Singapore,WPRO,1997,4300,1,,3649135
2820,Singapore,WPRO,1998,5258,1,,3731440
2821,Singapore,WPRO,1999,1355,5,,3818462
2822,Singapore,WPRO,2000,673,0,100,3913960
2823,Singapore,WPRO,2001,2372,4,,4018779
2824,Singapore,WPRO,2002,3945,,,4131208
2825,Singapore,WPRO,2003,4788,6,,4249295
2826,Singapore,WPRO,2004,9459,0,,4370040
2827,Singapore,WPRO,2005,14209,0,400,4491042
2828,Singapore,WPRO,2006,3127,10,,4611901
2829,Singapore,WPRO,2007,8826,24,,4732528
2830,Singapore,WPRO,2008,7032,10,,4851109
2831,Singapore,WPRO,2009,4497,8,,4965518
2832,Singapore,WPRO,2010,5364,4,200,5074252
2833,Singapore,WPRO,2011,5330,6,,5176017
2834,Singapore,WPRO,2012,4063,0,,5270958
2835,Singapore,WPRO,2013,20682,,,5360837
2836,Singapore,WPRO,2014,17992,4,,5448342
3334,Uruguay,PAHO,1990,0,0,0,3109989
3335,Uruguay,PAHO,1991,0,0,,3132050
3336,Uruguay,PAHO,1992,0,0,,3154855
3337,Uruguay,PAHO,1993,0,0,,3178155
3338,Uruguay,PAHO,1994,0,0,,3201607
3339,Uruguay,PAHO,1995,0,0,,3224804
3340,Uruguay,PAHO,1996,0,0,,3248035
3341,Uruguay,PAHO,1997,0,0,,3271010
3342,Uruguay,PAHO,1998,0,0,,3292138
3343,Uruguay,PAHO,1999,0,0,,3309318
3344,Uruguay,PAHO,2000,0,0,,3321245
3345,Uruguay,PAHO,2001,0,0,,3327103
3346,Uruguay,PAHO,2002,0,0,,3327773
3347,Uruguay,PAHO,2003,0,0,,3325637
3348,Uruguay,PAHO,2004,0,0,,3324096
3349,Uruguay,PAHO,2005,0,0,,3325612
3350,Uruguay,PAHO,2006,0,0,,3331043
3351,Uruguay,PAHO,2007,0,0,,3339741
3352,Uruguay,PAHO,2008,0,0,,3350824
3353,Uruguay,PAHO,2009,0,0,,3362755
3354,Uruguay,PAHO,2010,0,0,,3374415
3355,Uruguay,PAHO,2011,0,0,,3385624
3356,Uruguay,PAHO,2012,0,0,,3396777
3357,Uruguay,PAHO,2013,0,0,,3408005
3358,Uruguay,PAHO,2014,0,0,,3419546
2147,Netherlands,EURO,1990,,,0,14965448
2148,Netherlands,EURO,1991,,,,15064519
2149,Netherlands,EURO,1992,,,,15165862
2150,Netherlands,EURO,1993,,,,15268006
2151,Netherlands,EURO,1994,,,,15369120
2152,Netherlands,EURO,1995,,,,15467851
2153,Netherlands,EURO,1996,,,,15563255
2154,Netherlands,EURO,1997,,,,15655475
2155,Netherlands,EURO,1998,,,,15745647
2156,Netherlands,EURO,1999,,,,15835523
2157,Netherlands,EURO,2000,,,0,15926188
2158,Netherlands,EURO,2001,,,,16018114
2159,Netherlands,EURO,2002,,,,16110355
2160,Netherlands,EURO,2003,,,,16200951
2161,Netherlands,EURO,2004,,,,16287182
2162,Netherlands,EURO,2005,,,0,16367158
2163,Netherlands,EURO,2006,,,,16440222
2164,Netherlands,EURO,2007,,,,16507056
2165,Netherlands,EURO,2008,,,,16568734
2166,Netherlands,EURO,2009,,,,16626926
2167,Netherlands,EURO,2010,,,,16682917
2168,Netherlands,EURO,2011,,,,16737002
2169,Netherlands,EURO,2012,,,,16789095
2170,Netherlands,EURO,2013,,,,16839699
2171,Netherlands,EURO,2014,0,,,16889356
2031,Montserrat,PAHO,1990,0,0,0,10730
2032,Montserrat,PAHO,1991,0,0,,10766
2033,Montserrat,PAHO,1992,0,0,,10851
2034,Montserrat,PAHO,1993,0,0,,10886
2035,Montserrat,PAHO,1994,154,0,,10717
2036,Montserrat,PAHO,1995,75,0,,10233
