"Year","gap_filled_cumulative","who_all_cumulative","who_db_cumulative"
1990,433204,336577,336577
1991,913057,811228,811228
1992,1165537,1105356,1105356
1993,1434594,1371765,1371765
1994,1827950,1782574,1782574
1995,2397470,2348453,2348453
1996,2936020,2887745,2887745
1997,3641027,3592217,3592217
1998,4947959,4890452,4890452
1999,5392256,5324645,5324645
2000,5904937,5830075,5829850
2001,6904109,6799719,6799494
2002,8216760,8109678,8109453
2003,9034831,8908502,8908277
2004,9619485,9484208,9483983
2005,10422188,10255202,10254977
2006,11370842,11181814,11181589
2007,12791564,12600337,12600112
2008,14202783,14003869,14003644
2009,15850150,15635365,15635140
2010,18268437,18035365,18032409
2011,19826118,19562741,19559785
2012,21649304,21295915,21292959
2013,24972302,24383428,24380472
2014,26846968,26148926,26145970
2015,30349791,28650768,28647812
2016,34268834,31583768,31580812
2017,36155926,32623776,32620820
2018,37810764,33531353,33528397
2019,42931843,38731353,37047864
2020,46143236,41636273,39482824
2021,48318886,43101621,40827711
2022,52729317,46605171,43854532
2023,59333444,51880655,49130016
2024,74007867,66068359,63317720
