"Year","od_region","cases","percentage"
1990,"South America",114431,26.41503771895
1990,"North & Central America",28462,6.57011477271678
1990,"Caribbean",14769,3.409248298723
1990,"East & Southeast Asia",173580,40.0688820971182
1990,"South Asia",94368,21.783732375509
1990,"Pacific Islands",7592,1.75252306072889
1990,"Sub-Saharan Africa",2,0.000461676254143544
1990,"Europe, Middle East & North Africa",0,0
1991,"South America",223787,46.6365741174901
1991,"North & Central America",25292,5.27078084329993
1991,"Caribbean",12365,2.57683082110563
1991,"East & Southeast Asia",207809,43.3068043755067
1991,"South Asia",7339,1.52942672026641
1991,"Pacific Islands",3215,0.66999685320296
1991,"Sub-Saharan Africa",46,0.00958626912825386
1991,"Europe, Middle East & North Africa",0,0
1992,"South America",72319,28.6434569074778
1992,"North & Central America",21127,8.36779150823828
1992,"Caribbean",19121,7.57327313054499
1992,"East & Southeast Asia",134280,53.1844106463878
1992,"South Asia",3339,1.32248098859316
1992,"Pacific Islands",2294,0.908586818757921
1992,"Sub-Saharan Africa",0,0
1992,"Europe, Middle East & North Africa",0,0
1993,"South America",41250,15.3313238458765
1993,"North & Central America",30231,11.2359091196289
1993,"Caribbean",27117,10.0785335449366
1993,"East & Southeast Asia",157280,58.4560148964717
1993,"South Asia",11881,4.41579293606931
1993,"Pacific Islands",1151,0.427790393857064
1993,"Sub-Saharan Africa",146,0.0542635947029812
1993,"Europe, Middle East & North Africa",1,0.000371668456869734
1994,"South America",145077,36.8818576556605
1994,"North & Central America",75709,19.2469417016646
1994,"Caribbean",22000,5.59289803638434
1994,"East & Southeast Asia",141397,35.9463183477562
1994,"South Asia",8221,2.08996430714162
1994,"Pacific Islands",637,0.161939820417129
1994,"Sub-Saharan Africa",0,0
1994,"Europe, Middle East & North Africa",315,0.0800801309755031
1995,"South America",217219,38.1407149880601
1995,"North & Central America",103882,18.240272510184
1995,"Caribbean",15244,2.67663997752493
1995,"East & Southeast Asia",219730,38.5816125860374
1995,"South Asia",8363,1.46842955471274
1995,"Pacific Islands",4946,0.868450625087793
1995,"Sub-Saharan Africa",0,0
1995,"Europe, Middle East & North Africa",136,0.0238797583930327
1996,"South America",227318,42.209265620648
1996,"North & Central America",50441,9.36607557329867
1996,"Caribbean",9760,1.81227369789249
1996,"East & Southeast Asia",229168,42.5527806146133
1996,"South Asia",17815,3.30795654999536
1996,"Pacific Islands",3991,0.74106396806239
1996,"Sub-Saharan Africa",0,0
1996,"Europe, Middle East & North Africa",57,0.010583975489741
1997,"South America",308473,43.7546010181459
1997,"North & Central America",90472,12.8327803837409
1997,"Caribbean",11447,1.62367182169822
1997,"East & Southeast Asia",289867,41.1154782860312
1997,"South Asia",2412,0.342124262595974
1997,"Pacific Islands",2274,0.322549988865359
1997,"Sub-Saharan Africa",0,0
1997,"Europe, Middle East & North Africa",62,0.00879423892245042
1998,"South America",633337,48.4598280553235
1998,"North & Central America",70317,5.38031052878038
1998,"Caribbean",25771,1.97186999782697
1998,"East & Southeast Asia",543530,41.5882387147916
1998,"South Asia",3992,0.305448179400305
1998,"Pacific Islands",29954,2.29193255655229
1998,"Sub-Saharan Africa",0,0
1998,"Europe, Middle East & North Africa",31,0.00237196732500237
1999,"South America",252850,56.9101299356061
1999,"North & Central America",55819,12.5634429221894
1999,"Caribbean",8489,1.91065886107716
1999,"East & Southeast Asia",122808,27.6409698917616
