"od_region","Year","total"
"North & Central America",1990,28462
"North & Central America",1991,25292
"North & Central America",1992,21127
"North & Central America",1993,30231
"North & Central America",1994,75709
"North & Central America",1995,103882
"North & Central America",1996,50441
"North & Central America",1997,90472
"North & Central America",1998,70317
"North & Central America",1999,55819
"North & Central America",2000,58701
"North & Central America",2001,33650
"North & Central America",2002,80571
"North & Central America",2003,59112
"North & Central America",2004,63223
"North & Central America",2005,116206
"North & Central America",2006,86352
"North & Central America",2007,139412
"North & Central America",2008,69924
"North & Central America",2009,311478
"North & Central America",2010,214851
"North & Central America",2011,124252
"North & Central America",2012,289219
"North & Central America",2013,478407
"North & Central America",2014,304448
"North & Central America",2015,419910
"North & Central America",2016,305467
"North & Central America",2017,194970
"North & Central America",2018,176480
"North & Central America",2019,698665
"North & Central America",2020,228579
"North & Central America",2021,114024
"North & Central America",2022,233536
"North & Central America",2023,624672
"North & Central America",2024,1097923
"Europe, Middle East & North Africa",1990,0
"Europe, Middle East & North Africa",1991,0
"Europe, Middle East & North Africa",1992,0
"Europe, Middle East & North Africa",1993,1
"Europe, Middle East & North Africa",1994,315
"Europe, Middle East & North Africa",1995,136
"Europe, Middle East & North Africa",1996,57
"Europe, Middle East & North Africa",1997,62
"Europe, Middle East & North Africa",1998,31
"Europe, Middle East & North Africa",1999,26
"Europe, Middle East & North Africa",2000,17
"Europe, Middle East & North Africa",2001,7
"Europe, Middle East & North Africa",2002,11
"Europe, Middle East & North Africa",2003,0
"Europe, Middle East & North Africa",2004,343
"Europe, Middle East & North Africa",2005,718
"Europe, Middle East & North Africa",2006,1544
"Europe, Middle East & North Africa",2007,490
"Europe, Middle East & North Africa",2008,1354
"Europe, Middle East & North Africa",2009,3791
"Europe, Middle East & North Africa",2010,7546
"Europe, Middle East & North Africa",2011,3573
"Europe, Middle East & North Africa",2012,2864
"Europe, Middle East & North Africa",2013,6522
"Europe, Middle East & North Africa",2014,2823
"Europe, Middle East & North Africa",2015,11910
"Europe, Middle East & North Africa",2016,33719
"Europe, Middle East & North Africa",2017,3696
"Europe, Middle East & North Africa",2018,33504
"Europe, Middle East & North Africa",2019,95009
"Europe, Middle East & North Africa",2020,69119
"Europe, Middle East & North Africa",2021,23903
"Europe, Middle East & North Africa",2022,36720
"Europe, Middle East & North Africa",2023,48063
"Europe, Middle East & North Africa",2024,25621
"East & Southeast Asia",1990,173580
"East & Southeast Asia",1991,207809
"East & Southeast Asia",1992,134280
"East & Southeast Asia",1993,157280
"East & Southeast Asia",1994,141397
