"od_region","Year","fit","lwr","upr"
"Caribbean",1990,14040.5809589668,7584.59748301984,25991.8755222868
"Caribbean",1991,14592.0613930571,8078.89695936424,26356.1048952287
"Caribbean",1992,15158.5772866641,8599.4109113622,26720.7216545684
"Caribbean",1993,15734.2345236254,9143.2873826026,27076.2719889459
"Caribbean",1994,16324.3267023803,9713.87099813082,27433.3108126846
"Caribbean",1995,16930.952531104,10312.6808507192,27796.5698502641
"Caribbean",1996,17554.9660223996,10940.3544574345,28168.8160330294
"Caribbean",1997,18195.3170747714,11596.0763764017,28550.1365035161
"Caribbean",1998,18853.8277126897,12280.4758159684,28945.6878338192
"Caribbean",1999,19531.4455500905,12993.238584819,29359.6829447787
"Caribbean",2000,20223.9000825076,13729.9798827644,29789.2741314709
"Caribbean",2001,20928.073772163,14486.170274895,30234.648875565
"Caribbean",2002,21648.8364489065,15261.9000047915,30708.6351924967
"Caribbean",2003,22391.5429840403,16056.8588109444,31225.3600227449
"Caribbean",2004,23150.9798772677,16862.1508121013,31785.2612783544
"Caribbean",2005,23926.1446572391,17670.5386709498,32396.3184608657
"Caribbean",2006,24721.4279826005,18477.5963042821,33075.135501108
"Caribbean",2007,25539.1294777832,19276.4579126482,33836.4619391515
"Caribbean",2008,26380.4555970159,20058.8330555836,34694.3631056547
"Caribbean",2009,27249.9959043594,20818.9575057622,35667.6013475737
"Caribbean",2010,28109.3771152652,21518.8584868638,36718.3548463099
"Caribbean",2011,28990.6370321164,22175.86650211,37899.6254981942
"Caribbean",2012,29919.1668320586,22804.3263534178,39253.8034253483
"Caribbean",2013,30870.2859869058,23382.4585154985,40755.9605540066
"Caribbean",2014,31836.1550189873,23903.6897002779,42401.01754589
"Caribbean",2015,32824.999535595,24375.4634528663,44203.4916216172
"Caribbean",2016,33835.6331953005,24799.3857633308,46164.4528075263
"Caribbean",2017,34821.4936863671,25145.1253118749,48221.5303169349
"Caribbean",2018,35870.3573973765,25480.3154427901,50497.1197356038
"Caribbean",2019,36988.2096075641,25811.3518205177,53004.8817081158
"Caribbean",2020,38110.0807046394,26095.3777161814,55656.5330117267
"Caribbean",2021,39229.3540708905,26331.8043161647,58444.2373314524
"Caribbean",2022,40368.9797568686,26539.5648035031,61404.7192814315
"Caribbean",2023,41572.1244806378,26749.0156422401,64609.5376722772
"Caribbean",2024,42624.6685893236,26825.8398876422,67728.070396284
"East & Southeast Asia",1990,163405.938973321,121857.222152425,219121.201190303
"East & Southeast Asia",1991,173267.447300406,130689.998062237,229716.188990241
"East & Southeast Asia",1992,183346.511609053,139862.223406768,240350.414146081
"East & Southeast Asia",1993,193870.686294704,149553.862009422,251319.775359673
"East & Southeast Asia",1994,204844.90757275,159778.240778384,262622.970149547
"East & Southeast Asia",1995,216353.85551244,170610.697658056,274361.405454857
"East & Southeast Asia",1996,228436.881265405,182091.977311874,286577.198472006
"East & Southeast Asia",1997,241088.826349907,194226.528850838,299257.895070625
"East & Southeast Asia",1998,254318.235005091,207027.472284417,312411.507238275
"East & Southeast Asia",1999,268102.604630675,220479.713529492,326011.883175535
"East & Southeast Asia",2000,282553.344221109,234674.847647534,340200.039036316
"East & Southeast Asia",2001,297701.016781075,249635.451280183,355021.27177047
"East & Southeast Asia",2002,313439.511279572,265263.208938505,370365.448055604
"East & Southeast Asia",2003,329870.028882103,281625.886452472,386378.6718095
"East & Southeast Asia",2004,347095.007838106,298785.913044781,403214.941556091
"East & Southeast Asia",2005,365253.880029465,316829.182874315,421079.888115933
"East & Southeast Asia",2006,384429.193927453,335781.826412044,440124.490127589
"East & Southeast Asia",2007,404640.504349577,355600.977215575,460442.879101032
"East & Southeast Asia",2008,425944.570055455,376260.685689636,482189.034517895
"East & Southeast Asia",2009,448418.587896603,397738.712819554,505556.093712229
"East & Southeast Asia",2010,472103.248898862,419969.131827052,530709.18962836
"East & Southeast Asia",2011,496910.736337212,442765.362272929,557677.499024832
"East & Southeast Asia",2012,523153.542618002,466298.887422851,586940.3434917
"East & Southeast Asia",2013,550768.147517946,490415.570514771,618547.963315966
"East & Southeast Asia",2014,579552.244847995,514853.180794736,652381.721697588
"East & Southeast Asia",2015,609528.860144473,539569.940801218,688558.430066241
"East & Southeast Asia",2016,640925.761666078,564723.474930773,727410.582706162
"East & Southeast Asia",2017,673966.243526189,590479.038050413,769257.616515121
"East & Southeast Asia",2018,708000.981387999,616247.920760842,813415.141470155
"East & Southeast Asia",2019,742899.109291222,641911.62863088,859774.246126098
"East & Southeast Asia",2020,778604.144154435,667423.715527614,908305.172846945
"East & Southeast Asia",2021,814792.397966405,692514.563861429,958660.924157384
"East & Southeast Asia",2022,852006.966957967,717655.056995124,1011510.84308439
"East & Southeast Asia",2023,890539.857988769,743089.369429337,1067248.80114446
"East & Southeast Asia",2024,930044.048929431,768522.661005034,1125512.5929766
"Europe, Middle East & North Africa",1990,118.613295179461,22.2077148656863,633.52370464142
"Europe, Middle East & North Africa",1991,143.081140442521,28.3217872388005,722.843250594218
"Europe, Middle East & North Africa",1992,172.527521457717,36.1024561221899,824.479796044896
"Europe, Middle East & North Africa",1993,208.034733188674,46.0175616581616,940.476823486949
"Europe, Middle East & North Africa",1994,250.937469520953,58.6716657332382,1073.25423307193
"Europe, Middle East & North Africa",1995,302.36381077471,74.7187430201446,1223.57350205364
"Europe, Middle East & North Africa",1996,363.892111494786,95.0311937448711,1393.4105591016
"Europe, Middle East & North Africa",1997,438.33180202618,120.95998767852,1588.41590806178
"Europe, Middle East & North Africa",1998,528.345391431561,154.044706005793,1812.12882860429
"Europe, Middle East & North Africa",1999,637.155538395434,196.246349528783,2068.66105322603
"Europe, Middle East & North Africa",2000,768.959668173497,250.158299744915,2363.69919319262
"Europe, Middle East & North Africa",2001,928.63756599187,319.028681290809,2703.10407666832
"Europe, Middle East & North Africa",2002,1122.74131418266,407.229101461395,3095.42725224932
"Europe, Middle East & North Africa",2003,1358.8312021094,520.220378705648,3549.30777686972
"Europe, Middle East & North Africa",2004,1644.8357455769,664.468009249489,4071.65520727375
"Europe, Middle East & North Africa",2005,1990.71962658461,848.268101768517,4671.8303133254
"Europe, Middle East & North Africa",2006,2408.27839218047,1081.96044038261,5360.45921622826
