"Cycle","hemisphere_pairing","pair_id","mean_sync"
"Annual","Between","ARGENTINA_BANGLADESH",0.154101917317963
"Annual","Between","ARGENTINA_BARBADOS",0.142615834633951
"Annual","Between","ARGENTINA_CAMBODIA",0.159287806851007
"Annual","Between","ARGENTINA_CHINA",0.0564447009631246
"Annual","Between","ARGENTINA_COLOMBIA",0.224887295182035
"Annual","Between","ARGENTINA_COSTA RICA",0.0983263858892823
"Annual","Between","ARGENTINA_DOMINICAN REPUBLIC",0.112627616661086
"Annual","Between","ARGENTINA_EL SALVADOR",0.133166539752107
"Annual","Between","ARGENTINA_FRENCH GUIANA",0.339832806102567
"Annual","Between","ARGENTINA_GUADELOUPE",0.175618677993198
"Annual","Between","ARGENTINA_GUATEMALA",0.0965833775578604
"Annual","Between","ARGENTINA_GUYANA",0.331242015787117
"Annual","Between","ARGENTINA_HONDURAS",0.134481648821943
"Annual","Between","ARGENTINA_INDIA",0.0647840455206108
"Annual","Between","ARGENTINA_INDONESIA",0.423455231597704
"Annual","Between","ARGENTINA_JAMAICA",0.14158928081324
"Annual","Between","ARGENTINA_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.13625047437079
"Annual","Between","ARGENTINA_MALAYSIA",0.134445592889485
"Annual","Between","ARGENTINA_MARTINIQUE",0.195835857675801
"Annual","Between","ARGENTINA_MEXICO",0.0630071328856101
"Annual","Between","ARGENTINA_MYANMAR",0.184847634962983
"Annual","Between","ARGENTINA_NICARAGUA",0.0693291040798403
"Annual","Between","ARGENTINA_PALAU",0.141727263752733
"Annual","Between","ARGENTINA_PANAMA",0.0816197329791973
"Annual","Between","ARGENTINA_PHILIPPINES",0.0939935717724006
"Annual","Between","ARGENTINA_PUERTO RICO",0.130605577366463
"Annual","Between","ARGENTINA_SINGAPORE",0.133451182257652
"Annual","Between","ARGENTINA_SRI LANKA",0.13893157695088
"Annual","Between","ARGENTINA_SURINAME",0.243251891979712
"Annual","Between","ARGENTINA_TAIWAN",0.0466369973762272
"Annual","Between","ARGENTINA_THAILAND",0.157526575192032
"Annual","Between","ARGENTINA_TRINIDAD AND TOBAGO",0.0876014569283814
"Annual","Between","ARGENTINA_VENEZUELA",0.15507212087835
"Annual","Between","ARGENTINA_VIET NAM",0.0518835257595992
"Annual","Between","AUSTRALIA_BANGLADESH",0.0610301768986734
"Annual","Between","AUSTRALIA_BARBADOS",0.207893025589646
"Annual","Between","AUSTRALIA_CAMBODIA",0.0999929220956709
"Annual","Between","AUSTRALIA_CHINA",0.0715801970836988
"Annual","Between","AUSTRALIA_COLOMBIA",0.264251219105536
"Annual","Between","AUSTRALIA_COSTA RICA",0.110692679779858
"Annual","Between","AUSTRALIA_DOMINICAN REPUBLIC",0.170978402253327
"Annual","Between","AUSTRALIA_EL SALVADOR",0.0884888043511399
"Annual","Between","AUSTRALIA_FRENCH GUIANA",0.304640762572863
"Annual","Between","AUSTRALIA_GUADELOUPE",0.208435852782436
"Annual","Between","AUSTRALIA_GUATEMALA",0.10983432817697
"Annual","Between","AUSTRALIA_GUYANA",0.173772892433316
"Annual","Between","AUSTRALIA_HONDURAS",0.123498556747006
"Annual","Between","AUSTRALIA_INDIA",0.143928972464166
"Annual","Between","AUSTRALIA_INDONESIA",0.407430114828957
"Annual","Between","AUSTRALIA_JAMAICA",0.2058281369624
"Annual","Between","AUSTRALIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC",0.0910327972241182
"Annual","Between","AUSTRALIA_MALAYSIA",0.18128890609862
"Annual","Between","AUSTRALIA_MARTINIQUE",0.26090150750838
"Annual","Between","AUSTRALIA_MEXICO",0.0963690720568398
"Annual","Between","AUSTRALIA_MYANMAR",0.104197107000894
"Annual","Between","AUSTRALIA_NICARAGUA",0.115978808228561
"Annual","Between","AUSTRALIA_PALAU",0.168292290608107
"Annual","Between","AUSTRALIA_PANAMA",0.194357649069021
"Annual","Between","AUSTRALIA_PHILIPPINES",0.119634503150058
"Annual","Between","AUSTRALIA_PUERTO RICO",0.197534142875797
"Annual","Between","AUSTRALIA_SINGAPORE",0.0922213605840364
"Annual","Between","AUSTRALIA_SRI LANKA",0.205284251931646
"Annual","Between","AUSTRALIA_SURINAME",0.233454481958773
"Annual","Between","AUSTRALIA_TAIWAN",0.0933416945539216
"Annual","Between","AUSTRALIA_THAILAND",0.0848485642608483
