"Parameter","Type","Median","CI_0.025","CI_0.975"
"(Intercept)","Fixed effect",2.05,1.88,2.23
"size for the nbinomial observations (1/overdispersion)","Hyperparameter",204.2,148.84,280.22
"Precision for time_seq","Hyperparameter",0.29,0.26,0.31
"Rho for time_seq","Hyperparameter",0.93,0.93,0.94
"Precision for month_shared","Hyperparameter",307.65,58.49,2189.23
"Precision for month_dev","Hyperparameter",10.41,6.55,16.45
"Precision for month_dev_country","Hyperparameter",2.4,2.05,2.73
"Precision for yearx","Hyperparameter",5.16,3.72,7.03
"Rho for yearx","Hyperparameter",-0.71,-0.8,-0.57
"Precision for countryx","Hyperparameter",0.09,0.07,0.12
