Mask type,Parameter,Median,CI_0.025,CI_0.975
Interpolation,tau_country_month,0.047,0.003,0.098
Interpolation,sigma_region_month_mean,0.288,0.241,0.341
Interpolation,tau_region_year_mean,0.117,0.050,0.208
Interpolation,log_concentration_mean,1.690,1.680,1.700
Interpolation,total_concentration_mean,5.947,5.884,6.010
Extrapolation (backcast),tau_country_month,0.050,0.003,0.099
Extrapolation (backcast),sigma_region_month_mean,0.289,0.243,0.340
Extrapolation (backcast),tau_region_year_mean,0.116,0.049,0.207
Extrapolation (backcast),log_concentration_mean,1.699,1.688,1.709
Extrapolation (backcast),total_concentration_mean,6.004,5.940,6.068
Extrapolation (forecast),tau_country_month,0.047,0.003,0.095
Extrapolation (forecast),sigma_region_month_mean,0.286,0.239,0.339
Extrapolation (forecast),tau_region_year_mean,0.116,0.050,0.206
Extrapolation (forecast),log_concentration_mean,1.698,1.687,1.708
Extrapolation (forecast),total_concentration_mean,5.998,5.932,6.062
