"pair_id","ref_prov","other_prov","hemi_type","mean_sync","group","sync_logit","Cycle","Group"
"ARGENTINA_AUSTRALIA","ARGENTINA","AUSTRALIA","Within",0.428425978234603,"Within",-0.288276019874986,"Annual","Within"
"ARGENTINA_BANGLADESH","ARGENTINA","BANGLADESH","Between",0.138221355689311,"Between",-1.83014201772916,"Annual","Between"
"ARGENTINA_BARBADOS","ARGENTINA","BARBADOS","Between",0.188423119054817,"Between",-1.46028905455227,"Annual","Between"
"ARGENTINA_BOLIVIA","ARGENTINA","BOLIVIA","Within",0.523558842660808,"Within",0.0943052002531514,"Annual","Within"
"ARGENTINA_BRAZIL","ARGENTINA","BRAZIL","Within",0.560525836565961,"Within",0.243296407891442,"Annual","Within"
"ARGENTINA_BRUNEI DARUSSALAM","ARGENTINA","BRUNEI DARUSSALAM","Between",0.155691525526894,"Between",-1.69064126975875,"Annual","Between"
"ARGENTINA_CAMBODIA","ARGENTINA","CAMBODIA","Between",0.142857399159268,"Between",-1.7917573760956,"Annual","Between"
"ARGENTINA_CHINA","ARGENTINA","CHINA","Between",0.048597283786962,"Between",-2.97436979877098,"Annual","Between"
"ARGENTINA_COLOMBIA","ARGENTINA","COLOMBIA","Between",0.216049234172537,"Between",-1.28883990199435,"Annual","Between"
"ARGENTINA_COSTA RICA","ARGENTINA","COSTA RICA","Between",0.0711419711209895,"Between",-2.56927843192283,"Annual","Between"
"ARGENTINA_DOMINICAN REPUBLIC","ARGENTINA","DOMINICAN REPUBLIC","Between",0.146027189720451,"Between",-1.76610651987008,"Annual","Between"
"ARGENTINA_ECUADOR","ARGENTINA","ECUADOR","Within",0.484830250892676,"Within",-0.060697624757053,"Annual","Within"
"ARGENTINA_EL SALVADOR","ARGENTINA","EL SALVADOR","Between",0.131049462387557,"Between",-1.89171137748759,"Annual","Between"
"ARGENTINA_FIJI","ARGENTINA","FIJI","Within",0.432156512027339,"Within",-0.273058012416335,"Annual","Within"
"ARGENTINA_FRENCH GUIANA","ARGENTINA","FRENCH GUIANA","Between",0.402573827757621,"Between",-0.394752212031767,"Annual","Between"
"ARGENTINA_FRENCH POLYNESIA","ARGENTINA","FRENCH POLYNESIA","Within",0.227767311805017,"Within",-1.22096136862154,"Annual","Within"
"ARGENTINA_GUADELOUPE","ARGENTINA","GUADELOUPE","Between",0.206856462346335,"Between",-1.34397907700094,"Annual","Between"
"ARGENTINA_GUATEMALA","ARGENTINA","GUATEMALA","Between",0.082181486094908,"Between",-2.41306962709957,"Annual","Between"
"ARGENTINA_GUYANA","ARGENTINA","GUYANA","Between",0.387524774542664,"Between",-0.457728712314569,"Annual","Between"
"ARGENTINA_HONDURAS","ARGENTINA","HONDURAS","Between",0.110749114533668,"Between",-2.08311199286122,"Annual","Between"
"ARGENTINA_INDIA","ARGENTINA","INDIA","Between",0.0599753706071306,"Between",-2.75197208833566,"Annual","Between"
"ARGENTINA_INDONESIA","ARGENTINA","INDONESIA","Between",0.568102001599039,"Between",0.274111537326512,"Annual","Between"
"ARGENTINA_JAMAICA","ARGENTINA","JAMAICA","Between",0.192065598511323,"Between",-1.43664389636012,"Annual","Between"
"ARGENTINA_LAO PEOPLE'S DEMOCRATIC REPUBLIC","ARGENTINA","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Between",0.123473929742276,"Between",-1.95993640893014,"Annual","Between"
"ARGENTINA_MALAYSIA","ARGENTINA","MALAYSIA","Between",0.174635127797198,"Between",-1.55312674459681,"Annual","Between"
"ARGENTINA_MALDIVES","ARGENTINA","MALDIVES","Within",0.3302495729717,"Within",-0.707056495662069,"Annual","Within"
"ARGENTINA_MARTINIQUE","ARGENTINA","MARTINIQUE","Between",0.247744167145395,"Between",-1.11067983973318,"Annual","Between"
"ARGENTINA_MEXICO","ARGENTINA","MEXICO","Between",0.055255669022606,"Between",-2.83894339978028,"Annual","Between"
"ARGENTINA_MYANMAR","ARGENTINA","MYANMAR","Between",0.17651074062193,"Between",-1.54016877897916,"Annual","Between"
"ARGENTINA_NEW CALEDONIA","ARGENTINA","NEW CALEDONIA","Within",0.410721599356394,"Within",-0.360983127461213,"Annual","Within"
"ARGENTINA_NICARAGUA","ARGENTINA","NICARAGUA","Between",0.0755920994249696,"Between",-2.50380165230596,"Annual","Between"
"ARGENTINA_PALAU","ARGENTINA","PALAU","Between",0.1295304374192,"Between",-1.90511690164412,"Annual","Between"
"ARGENTINA_PANAMA","ARGENTINA","PANAMA","Between",0.108443546758888,"Between",-2.10673902797618,"Annual","Between"
"ARGENTINA_PARAGUAY","ARGENTINA","PARAGUAY","Within",0.491447613157828,"Within",-0.0342128842209986,"Annual","Within"
"ARGENTINA_PERU","ARGENTINA","PERU","Within",0.448191958831166,"Within",-0.207978614114085,"Annual","Within"
"ARGENTINA_PHILIPPINES","ARGENTINA","PHILIPPINES","Between",0.0895669157587504,"Between",-2.31893439501739,"Annual","Between"
"ARGENTINA_PUERTO RICO","ARGENTINA","PUERTO RICO","Between",0.194900023437379,"Between",-1.41847973742793,"Annual","Between"
"ARGENTINA_SINGAPORE","ARGENTINA","SINGAPORE","Between",0.114211780727597,"Between",-2.04842344122929,"Annual","Between"
"ARGENTINA_SRI LANKA","ARGENTINA","SRI LANKA","Between",0.16230724375471,"Between",-1.64116028851984,"Annual","Between"
"ARGENTINA_SURINAME","ARGENTINA","SURINAME","Between",0.298220657858789,"Between",-0.855785352068814,"Annual","Between"
"ARGENTINA_TAIWAN","ARGENTINA","TAIWAN","Between",0.0446702392502118,"Between",-3.0627490887951,"Annual","Between"
"ARGENTINA_THAILAND","ARGENTINA","THAILAND","Between",0.145516252784423,"Between",-1.77020969878827,"Annual","Between"
"ARGENTINA_TRINIDAD AND TOBAGO","ARGENTINA","TRINIDAD AND TOBAGO","Between",0.125822216293331,"Between",-1.93841384004142,"Annual","Between"
"ARGENTINA_VANUATU","ARGENTINA","VANUATU","Within",0.296289940134368,"Within",-0.865027922163054,"Annual","Within"
"ARGENTINA_VENEZUELA","ARGENTINA","VENEZUELA","Between",0.240505694793074,"Between",-1.14990905568723,"Annual","Between"
"ARGENTINA_VIET NAM","ARGENTINA","VIET NAM","Between",0.0343389148320167,"Between",-3.33653367486952,"Annual","Between"
"AUSTRALIA_BANGLADESH","AUSTRALIA","BANGLADESH","Between",0.0496909282980533,"Between",-2.9509648830892,"Annual","Between"
"AUSTRALIA_BARBADOS","AUSTRALIA","BARBADOS","Between",0.264967446143437,"Between",-1.02030781549489,"Annual","Between"
"AUSTRALIA_BOLIVIA","AUSTRALIA","BOLIVIA","Within",0.45415948447012,"Within",-0.183878413243908,"Annual","Within"
"AUSTRALIA_BRAZIL","AUSTRALIA","BRAZIL","Within",0.36482198630105,"Within",-0.554495770289887,"Annual","Within"
"AUSTRALIA_BRUNEI DARUSSALAM","AUSTRALIA","BRUNEI DARUSSALAM","Between",0.175308382253435,"Between",-1.54846291238074,"Annual","Between"
"AUSTRALIA_CAMBODIA","AUSTRALIA","CAMBODIA","Between",0.0802675533459243,"Between",-2.43871733751878,"Annual","Between"
"AUSTRALIA_CHINA","AUSTRALIA","CHINA","Between",0.0813490900949564,"Between",-2.42415654300848,"Annual","Between"
"AUSTRALIA_COLOMBIA","AUSTRALIA","COLOMBIA","Between",0.325697149017559,"Between",-0.727711384950256,"Annual","Between"
"AUSTRALIA_COSTA RICA","AUSTRALIA","COSTA RICA","Between",0.127343704722548,"Between",-1.92465200570013,"Annual","Between"
"AUSTRALIA_DOMINICAN REPUBLIC","AUSTRALIA","DOMINICAN REPUBLIC","Between",0.214263693132649,"Between",-1.29941378132129,"Annual","Between"
"AUSTRALIA_ECUADOR","AUSTRALIA","ECUADOR","Within",0.474193362683642,"Within",-0.103318358825922,"Annual","Within"
"AUSTRALIA_EL SALVADOR","AUSTRALIA","EL SALVADOR","Between",0.109077067286274,"Between",-2.10020325674088,"Annual","Between"
"AUSTRALIA_FIJI","AUSTRALIA","FIJI","Within",0.292364975746617,"Within",-0.883925519596795,"Annual","Within"
"AUSTRALIA_FRENCH GUIANA","AUSTRALIA","FRENCH GUIANA","Between",0.425542173641881,"Between",-0.300062626702006,"Annual","Between"
"AUSTRALIA_FRENCH POLYNESIA","AUSTRALIA","FRENCH POLYNESIA","Within",0.289716168656627,"Within",-0.896762937664569,"Annual","Within"
"AUSTRALIA_GUADELOUPE","AUSTRALIA","GUADELOUPE","Between",0.251615105952663,"Between",-1.09001684728464,"Annual","Between"
"AUSTRALIA_GUATEMALA","AUSTRALIA","GUATEMALA","Between",0.0876114205283274,"Between",-2.34315461254,"Annual","Between"
"AUSTRALIA_GUYANA","AUSTRALIA","GUYANA","Between",0.205360362353411,"Between",-1.3531224248697,"Annual","Between"
"AUSTRALIA_HONDURAS","AUSTRALIA","HONDURAS","Between",0.0978850518331489,"Between",-2.22094809917586,"Annual","Between"
"AUSTRALIA_INDIA","AUSTRALIA","INDIA","Between",0.156451243734158,"Between",-1.68487328283985,"Annual","Between"
"AUSTRALIA_INDONESIA","AUSTRALIA","INDONESIA","Between",0.509422867660406,"Between",0.0376959337821728,"Annual","Between"
"AUSTRALIA_JAMAICA","AUSTRALIA","JAMAICA","Between",0.258521498632647,"Between",-1.05366731037412,"Annual","Between"
"AUSTRALIA_LAO PEOPLE'S DEMOCRATIC REPUBLIC","AUSTRALIA","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Between",0.0991776131000194,"Between",-2.20639579489148,"Annual","Between"
"AUSTRALIA_MALAYSIA","AUSTRALIA","MALAYSIA","Between",0.173781608213431,"Between",-1.55905974973532,"Annual","Between"
"AUSTRALIA_MALDIVES","AUSTRALIA","MALDIVES","Within",0.191855621073702,"Within",-1.43799761376912,"Annual","Within"
"AUSTRALIA_MARTINIQUE","AUSTRALIA","MARTINIQUE","Between",0.321890975620677,"Between",-0.745095174749747,"Annual","Between"
"AUSTRALIA_MEXICO","AUSTRALIA","MEXICO","Between",0.0715955485339852,"Between",-2.56243456843962,"Annual","Between"
"AUSTRALIA_MYANMAR","AUSTRALIA","MYANMAR","Between",0.092207573673943,"Between",-2.28697347594139,"Annual","Between"
"AUSTRALIA_NEW CALEDONIA","AUSTRALIA","NEW CALEDONIA","Within",0.322536293940057,"Within",-0.742140311674922,"Annual","Within"
"AUSTRALIA_NICARAGUA","AUSTRALIA","NICARAGUA","Between",0.125973068578029,"Between",-1.93704304650344,"Annual","Between"
"AUSTRALIA_PALAU","AUSTRALIA","PALAU","Between",0.171743423016388,"Between",-1.57332134553519,"Annual","Between"
"AUSTRALIA_PANAMA","AUSTRALIA","PANAMA","Between",0.217530801735381,"Between",-1.28011410072332,"Annual","Between"
"AUSTRALIA_PARAGUAY","AUSTRALIA","PARAGUAY","Within",0.343334461659306,"Within",-0.648469735863045,"Annual","Within"
"AUSTRALIA_PERU","AUSTRALIA","PERU","Within",0.369397680404819,"Within",-0.534801637111559,"Annual","Within"
"AUSTRALIA_PHILIPPINES","AUSTRALIA","PHILIPPINES","Between",0.12978941549325,"Between",-1.90282197730725,"Annual","Between"
"AUSTRALIA_PUERTO RICO","AUSTRALIA","PUERTO RICO","Between",0.263989835684172,"Between",-1.02533332763643,"Annual","Between"
"AUSTRALIA_SINGAPORE","AUSTRALIA","SINGAPORE","Between",0.105678300993089,"Between",-2.1356659695517,"Annual","Between"
"AUSTRALIA_SRI LANKA","AUSTRALIA","SRI LANKA","Between",0.230896572069776,"Between",-1.20325558682142,"Annual","Between"
"AUSTRALIA_SURINAME","AUSTRALIA","SURINAME","Between",0.245788012273598,"Between",-1.12120405362635,"Annual","Between"
"AUSTRALIA_TAIWAN","AUSTRALIA","TAIWAN","Between",0.101523500996913,"Between",-2.18041024147303,"Annual","Between"
"AUSTRALIA_THAILAND","AUSTRALIA","THAILAND","Between",0.0760854721698265,"Between",-2.4967622228418,"Annual","Between"
"AUSTRALIA_TRINIDAD AND TOBAGO","AUSTRALIA","TRINIDAD AND TOBAGO","Between",0.169750097343246,"Between",-1.58739940312187,"Annual","Between"
"AUSTRALIA_VANUATU","AUSTRALIA","VANUATU","Within",0.317265826674154,"Within",-0.766365586886153,"Annual","Within"
"AUSTRALIA_VENEZUELA","AUSTRALIA","VENEZUELA","Between",0.316923819265226,"Between",-0.76794496454091,"Annual","Between"
"AUSTRALIA_VIET NAM","AUSTRALIA","VIET NAM","Between",0.109742400630555,"Between",-2.09337505132929,"Annual","Between"
"BANGLADESH_BARBADOS","BANGLADESH","BARBADOS","Within",0.2333135906379,"Within",-1.18969443301576,"Annual","Within"
"BANGLADESH_BOLIVIA","BANGLADESH","BOLIVIA","Between",0.0661798530580792,"Between",-2.64690777537196,"Annual","Between"
"BANGLADESH_BRAZIL","BANGLADESH","BRAZIL","Between",0.0727257041689352,"Between",-2.54555453109525,"Annual","Between"
"BANGLADESH_BRUNEI DARUSSALAM","BANGLADESH","BRUNEI DARUSSALAM","Within",0.25882266173124,"Within",-1.05209679612025,"Annual","Within"
"BANGLADESH_CAMBODIA","BANGLADESH","CAMBODIA","Within",0.486535714541215,"Within",-0.0538701656337887,"Annual","Within"
"BANGLADESH_CHINA","BANGLADESH","CHINA","Within",0.512496415457502,"Within",0.0499960734402813,"Annual","Within"
"BANGLADESH_COLOMBIA","BANGLADESH","COLOMBIA","Within",0.0791892748648599,"Within",-2.45341363368955,"Annual","Within"
"BANGLADESH_COSTA RICA","BANGLADESH","COSTA RICA","Within",0.515482392003138,"Within",0.0619493724655049,"Annual","Within"
"BANGLADESH_DOMINICAN REPUBLIC","BANGLADESH","DOMINICAN REPUBLIC","Within",0.440463489281516,"Within",-0.239281224376102,"Annual","Within"
"BANGLADESH_ECUADOR","BANGLADESH","ECUADOR","Between",0.12501011839322,"Between",-1.94581764124077,"Annual","Between"
"BANGLADESH_EL SALVADOR","BANGLADESH","EL SALVADOR","Within",0.463687694683251,"Within",-0.145505396755493,"Annual","Within"
"BANGLADESH_FIJI","BANGLADESH","FIJI","Between",0.0594606374617449,"Between",-2.76113896228131,"Annual","Between"
"BANGLADESH_FRENCH GUIANA","BANGLADESH","FRENCH GUIANA","Within",0.0609277191927761,"Within",-2.73520422229003,"Annual","Within"
"BANGLADESH_FRENCH POLYNESIA","BANGLADESH","FRENCH POLYNESIA","Between",0.041100241860813,"Between",-3.14977253575606,"Annual","Between"
"BANGLADESH_GUADELOUPE","BANGLADESH","GUADELOUPE","Within",0.28194869048851,"Within",-0.934815922448975,"Annual","Within"
"BANGLADESH_GUATEMALA","BANGLADESH","GUATEMALA","Within",0.520108825651913,"Within",0.0804787116903862,"Annual","Within"
"BANGLADESH_GUYANA","BANGLADESH","GUYANA","Within",0.294185674104796,"Within",-0.875141095848947,"Annual","Within"
"BANGLADESH_HONDURAS","BANGLADESH","HONDURAS","Within",0.448347862611676,"Within",-0.207348251580773,"Annual","Within"
"BANGLADESH_INDIA","BANGLADESH","INDIA","Within",0.517211044297607,"Within",0.0688713872378666,"Annual","Within"
"BANGLADESH_INDONESIA","BANGLADESH","INDONESIA","Within",0.032497503343206,"Within",-3.3935547392486,"Annual","Within"
"BANGLADESH_JAMAICA","BANGLADESH","JAMAICA","Within",0.256847276999402,"Within",-1.06241991738505,"Annual","Within"
"BANGLADESH_LAO PEOPLE'S DEMOCRATIC REPUBLIC","BANGLADESH","LAO PEOPLE'S DEMOCRATIC REPUBLIC","Within",0.524679917275375,"Within",0.0987999598184501,"Annual","Within"
"BANGLADESH_MALAYSIA","BANGLADESH","MALAYSIA","Within",0.182847361535403,"Within",-1.49717419057151,"Annual","Within"
"BANGLADESH_MALDIVES","BANGLADESH","MALDIVES","Between",0.405222634516582,"Between",-0.383750528941893,"Annual","Between"
"BANGLADESH_MARTINIQUE","BANGLADESH","MARTINIQUE","Within",0.154292535199569,"Within",-1.70132313380788,"Annual","Within"
"BANGLADESH_MEXICO","BANGLADESH","MEXICO","Within",0.568281700774956,"Within",0.274843957429235,"Annual","Within"
