"threshold","country","ann_years_kept","mlt_years_kept","ann_mean_frac_valid","mlt_mean_frac_valid","n_years"
"none","ARGENTINA",33,31,0.918095238095238,0.742857142857143,35
"none","AUSTRALIA",33,31,0.918095238095238,0.742857142857143,35
"none","BANGLADESH",33,31,0.918095238095238,0.742857142857143,35
"none","BARBADOS",33,31,0.918095238095238,0.742857142857143,35
"none","BOLIVIA",33,31,0.918095238095238,0.742857142857143,35
"none","BRAZIL",33,31,0.918095238095238,0.742857142857143,35
"none","CAMBODIA",33,31,0.918095238095238,0.742857142857143,35
"none","CHINA",33,31,0.918095238095238,0.742857142857143,35
"none","COLOMBIA",33,31,0.918095238095238,0.742857142857143,35
"none","COSTA RICA",33,31,0.918095238095238,0.742857142857143,35
"none","DOMINICAN REPUBLIC",33,31,0.918095238095238,0.742857142857143,35
"none","ECUADOR",33,31,0.918095238095238,0.742857142857143,35
"none","EL SALVADOR",33,31,0.918095238095238,0.742857142857143,35
"none","FIJI",33,31,0.918095238095238,0.742857142857143,35
"none","FRENCH GUIANA",33,31,0.918095238095238,0.742857142857143,35
"none","FRENCH POLYNESIA",33,31,0.918095238095238,0.742857142857143,35
"none","GUADELOUPE",33,31,0.918095238095238,0.742857142857143,35
"none","GUATEMALA",33,31,0.918095238095238,0.742857142857143,35
"none","GUYANA",33,31,0.918095238095238,0.742857142857143,35
"none","HONDURAS",33,31,0.918095238095238,0.742857142857143,35
"none","INDIA",33,31,0.918095238095238,0.742857142857143,35
"none","INDONESIA",33,31,0.918095238095238,0.742857142857143,35
"none","JAMAICA",33,31,0.918095238095238,0.742857142857143,35
"none","LAO PEOPLE'S DEMOCRATIC REPUBLIC",33,31,0.918095238095238,0.742857142857143,35
"none","MALAYSIA",33,31,0.918095238095238,0.742857142857143,35
"none","MALDIVES",33,31,0.918095238095238,0.742857142857143,35
"none","MARTINIQUE",33,31,0.918095238095238,0.742857142857143,35
"none","MEXICO",33,31,0.918095238095238,0.742857142857143,35
"none","MYANMAR",33,31,0.918095238095238,0.742857142857143,35
"none","NEW CALEDONIA",33,31,0.918095238095238,0.742857142857143,35
"none","NICARAGUA",33,31,0.918095238095238,0.742857142857143,35
"none","PALAU",33,0,0.918095238095238,NA,35
"none","PANAMA",33,31,0.918095238095238,0.742857142857143,35
"none","PARAGUAY",33,31,0.918095238095238,0.742857142857143,35
"none","PERU",33,31,0.918095238095238,0.742857142857143,35
"none","PHILIPPINES",33,31,0.918095238095238,0.742857142857143,35
"none","PUERTO RICO",33,31,0.918095238095238,0.742857142857143,35
"none","SINGAPORE",33,31,0.918095238095238,0.742857142857143,35
"none","SRI LANKA",33,31,0.918095238095238,0.742857142857143,35
"none","SURINAME",33,31,0.918095238095238,0.742857142857143,35
"none","TAIWAN",33,31,0.918095238095238,0.742857142857143,35
"none","THAILAND",33,31,0.918095238095238,0.742857142857143,35
"none","TRINIDAD AND TOBAGO",33,31,0.918095238095238,0.742857142857143,35
"none","VANUATU",33,31,0.918095238095238,0.742857142857143,35
"none","VENEZUELA",33,31,0.918095238095238,0.742857142857143,35
"none","VIET NAM",33,31,0.918095238095238,0.742857142857143,35
"20%","ARGENTINA",11,6,0.341904761904762,0.147916666666667,35
"20%","AUSTRALIA",32,27,0.913333333333333,0.742857142857143,35
"20%","BANGLADESH",22,14,0.626666666666667,0.385714285714286,35
"20%","BARBADOS",9,5,0.256190476190476,0.132440476190476,35
"20%","BOLIVIA",9,5,0.256190476190476,0.132142857142857,35
"20%","BRAZIL",30,27,0.859047619047619,0.714285714285714,35
"20%","CAMBODIA",20,16,0.597142857142857,0.475297619047619,35
"20%","CHINA",14,8,0.439047619047619,0.221130952380952,35
"20%","COLOMBIA",16,12,0.456190476190476,0.332440476190476,35
"20%","COSTA RICA",10,5,0.283809523809524,0.132142857142857,35
"20%","DOMINICAN REPUBLIC",9,6,0.275238095238095,0.147321428571429,35
"20%","ECUADOR",9,5,0.256190476190476,0.132142857142857,35
"20%","EL SALVADOR",16,10,0.479047619047619,0.27202380952381,35
"20%","FIJI",12,4,0.340952380952381,0.121130952380952,35
"20%","FRENCH GUIANA",2,0,0.104761904761905,0.00595238095238095,35
"20%","FRENCH POLYNESIA",9,2,0.275714285714286,0.0788690476190476,35
"20%","GUADELOUPE",3,0,0.124761904761905,0.0125,35
"20%","GUATEMALA",9,5,0.256190476190476,0.132142857142857,35
"20%","GUYANA",7,3,0.2,0.0696428571428571,35
"20%","HONDURAS",9,5,0.256190476190476,0.132142857142857,35
"20%","INDIA",0,0,0,0,35
"20%","INDONESIA",16,13,0.458095238095238,0.347321428571429,35
"20%","JAMAICA",9,5,0.273333333333333,0.132142857142857,35
"20%","LAO PEOPLE'S DEMOCRATIC REPUBLIC",22,21,0.654285714285714,0.561011904761905,35
"20%","MALAYSIA",25,26,0.765714285714286,0.694345238095238,35
"20%","MALDIVES",15,8,0.451428571428571,0.251785714285714,35
"20%","MARTINIQUE",0,0,0.0585714285714286,0,35
"20%","MEXICO",13,7,0.393333333333333,0.194047619047619,35
"20%","MYANMAR",4,2,0.137142857142857,0.0547619047619048,35
"20%","NEW CALEDONIA",9,2,0.274285714285714,0.0717261904761905,35
"20%","NICARAGUA",22,18,0.627619047619048,0.503869047619048,35
"20%","PALAU",10,0,0.302857142857143,NA,35
"20%","PANAMA",10,5,0.284285714285714,0.138690476190476,35
"20%","PARAGUAY",14,6,0.398095238095238,0.163690476190476,35
"20%","PERU",23,19,0.656190476190476,0.532440476190476,35
"20%","PHILIPPINES",16,15,0.499047619047619,0.422619047619048,35
"20%","PUERTO RICO",9,5,0.256190476190476,0.132142857142857,35
"20%","SINGAPORE",30,26,0.856190476190476,0.724702380952381,35
"20%","SRI LANKA",14,7,0.475238095238095,0.250892857142857,35
"20%","SURINAME",8,1,0.226666666666667,0.0535714285714286,35
"20%","TAIWAN",25,21,0.713333333333333,0.591666666666667,35
"20%","THAILAND",30,26,0.856190476190476,0.724702380952381,35
"20%","TRINIDAD AND TOBAGO",0,0,0.0171428571428571,0,35
"20%","VANUATU",14,7,0.417619047619048,0.194047619047619,35
"20%","VENEZUELA",10,5,0.331428571428571,0.136309523809524,35
"20%","VIET NAM",23,21,0.685238095238095,0.614285714285714,35
"30%","ARGENTINA",14,8,0.364761904761905,0.19672619047619,35
"30%","AUSTRALIA",33,27,0.916190476190476,0.742857142857143,35
"30%","BANGLADESH",24,16,0.64,0.421428571428571,35
"30%","BARBADOS",10,6,0.264761904761905,0.15297619047619,35
"30%","BOLIVIA",10,6,0.262857142857143,0.152380952380952,35
"30%","BRAZIL",32,27,0.873333333333333,0.738690476190476,35
"30%","CAMBODIA",23,19,0.618095238095238,0.557440476190476,35
"30%","CHINA",19,11,0.473333333333333,0.273511904761905,35
"30%","COLOMBIA",17,13,0.462857142857143,0.352380952380952,35
"30%","COSTA RICA",12,6,0.297142857142857,0.15297619047619,35
"30%","DOMINICAN REPUBLIC",12,7,0.297142857142857,0.171130952380952,35
"30%","ECUADOR",10,6,0.262857142857143,0.152380952380952,35
"30%","EL SALVADOR",19,13,0.499047619047619,0.344047619047619,35
"30%","FIJI",14,6,0.356190476190476,0.145833333333333,35
