"analysis","cycle","region","threshold","variant","scale","slope_unmasked","slope_masked","diff_point","diff_lwr","diff_upr","diff_p","m","diff_pct_per_year"
"power","Annual","Global","20%","per_threshold","log slope per year",0.0149087471255193,0.0453546689928773,0.030445921867358,-0.0107751544530547,0.0716669981877707,0.147720122417724,50,3.09141386297969
"power","Annual","Americas","20%","per_threshold","log slope per year",0.0138837468832594,0.0655120018811966,0.0516282549979372,-0.00617418310572106,0.109430693101595,0.0800130675034188,50,5.29842281220592
"power","Annual","Asia","20%","per_threshold","log slope per year",0.0161289855091621,0.0221737361713101,0.00604475066214804,-0.0526341333703152,0.0647236346946113,0.839991735157115,50,0.606305703466292
"sync","Annual","Global","20%","per_threshold","logit slope per year",0.0113108211573499,0.0153433411100852,0.00403251995273536,-0.0049385087740124,0.0130035486794831,0.377113095423474,50,NA
"sync","Annual","Within Americas","20%","per_threshold","logit slope per year",0.0106136974745671,0.0137112350521146,0.00309753757754755,-0.0143432433331242,0.0205383184882193,0.727221013649535,50,NA
"sync","Annual","Within Asia","20%","per_threshold","logit slope per year",0.0126859434984081,0.00852504688609106,-0.004160896612317,-0.0193531271627025,0.0110313339380685,0.59100141045937,50,NA
"sync","Annual","Americas-Asia","20%","per_threshold","logit slope per year",0.0111591286110882,0.018894722025989,0.00773559341490076,-0.00412179040681216,0.0195929772366137,0.200395519361234,50,NA
"power","Multiannual","Global","20%","per_threshold","log slope per year",0.00810756893154205,0.0428334349580643,0.0347258660265223,0.00446375608079552,0.064987975972249,0.0245088981209613,50,3.53358491634008
"power","Multiannual","Americas","20%","per_threshold","log slope per year",0.00252421839107889,0.0525377341188187,0.0500135157277398,0.00495058146682543,0.0950764499886542,0.0296093580075882,50,5.12853051659643
"power","Multiannual","Asia","20%","per_threshold","log slope per year",0.015086757107121,0.0321076306224937,0.0170208735153727,-0.0229773780534949,0.0570191250842403,0.404248828808369,50,1.71665539453509
"sync","Multiannual","Global","20%","per_threshold","logit slope per year",0.021824727584116,0.061741074008752,0.039916346424636,0.0276330015712709,0.0521996912780012,6.91133199745445e-10,50,NA
"sync","Multiannual","Within Americas","20%","per_threshold","logit slope per year",0.0290246618280608,0.0859611807968421,0.0569365189687813,0.0325365580440434,0.0813364798935192,6.14030081825848e-06,50,NA
"sync","Multiannual","Within Asia","20%","per_threshold","logit slope per year",0.0206115325082385,0.0420040463567033,0.0213925138484648,0.00263916746582435,0.0401458602311052,0.0254062580802472,50,NA
"sync","Multiannual","Americas-Asia","20%","per_threshold","logit slope per year",0.0179657811665825,0.0566881010793275,0.038722319912745,0.0222733237226109,0.0551713161028791,5.28978499101706e-06,50,NA
"power","Annual","Global","30%","per_threshold","log slope per year",0.0149087471255193,0.0366345195254045,0.0217257723998852,-0.0160946899112726,0.059546234711043,0.260211100756557,50,2.19634954439407
"power","Annual","Americas","30%","per_threshold","log slope per year",0.0138837468832594,0.047829136124256,0.0339453892409966,-0.0181335998912899,0.086024378373283,0.201419376514767,50,3.45281088202021
"power","Annual","Asia","30%","per_threshold","log slope per year",0.0161289855091621,0.0226412487768402,0.00651226326767804,-0.0483996881269447,0.0614242146623008,0.816195222111467,50,0.653351415953396
"sync","Annual","Global","30%","per_threshold","logit slope per year",0.0113108211573499,0.0184136440079301,0.00710282285058024,-0.000983656784334746,0.0151893024854952,0.0850119051035282,50,NA
"sync","Annual","Within Americas","30%","per_threshold","logit slope per year",0.0106136974745671,0.0131629703235495,0.00254927284898245,-0.0131054138371511,0.018203959535116,0.749252823276352,50,NA
"sync","Annual","Within Asia","30%","per_threshold","logit slope per year",0.0126859434984081,0.0145084737903658,0.00182253029195778,-0.0129972261041956,0.0166422866881112,0.809377334759522,50,NA
"sync","Annual","Americas-Asia","30%","per_threshold","logit slope per year",0.0111591286110882,0.0229925181965349,0.0118333895854467,0.000941616211812922,0.0227251629590805,0.0332669750949925,50,NA
"power","Multiannual","Global","30%","per_threshold","log slope per year",0.00810756893154205,0.0395681454318572,0.0314605765003152,0.00363746688735686,0.0592836861132735,0.0266787397617221,50,3.19606912917045
"power","Multiannual","Americas","30%","per_threshold","log slope per year",0.00252421839107889,0.0460656230020696,0.0435414046109907,0.00223442149136357,0.0848483877306179,0.0388307394090503,50,4.45032406670791
"power","Multiannual","Asia","30%","per_threshold","log slope per year",0.015086757107121,0.0323867228542541,0.0172999657471331,-0.0197015255654922,0.0543014570597583,0.359460564726173,50,1.7450476847459
"sync","Multiannual","Global","30%","per_threshold","logit slope per year",0.021824727584116,0.0491423347235217,0.0273176071394058,0.0170425350604135,0.0375926792183981,2.85077345348719e-07,50,NA
"sync","Multiannual","Within Americas","30%","per_threshold","logit slope per year",0.0290246618280608,0.0637350121187491,0.0347103502906882,0.0160344740278823,0.0533862265534941,0.000281527874839482,50,NA
"sync","Multiannual","Within Asia","30%","per_threshold","logit slope per year",0.0206115325082385,0.0308046734926645,0.010193140984426,-0.0066464016227384,0.0270326835915905,0.235400926085498,50,NA
"sync","Multiannual","Americas-Asia","30%","per_threshold","logit slope per year",0.0179657811665825,0.0469856430628325,0.02901986189625,0.0153084491604917,0.0427312746320083,3.78699238276155e-05,50,NA
"power","Annual","Global","50%","per_threshold","log slope per year",0.0149087471255193,0.0340206277939599,0.0191118806684405,-0.0174648643530228,0.0556886256899039,0.30578314179704,50,1.92956817204486
"power","Annual","Americas","50%","per_threshold","log slope per year",0.0138837468832594,0.0410979313216317,0.0272141844383723,-0.0228894553210998,0.0773178241978444,0.287069796017236,50,2.7587872526244
"power","Annual","Asia","50%","per_threshold","log slope per year",0.0161289855091621,0.0255952664514934,0.00946628094233132,-0.0441519309793005,0.0630844928639631,0.729319132625571,50,0.951122789464542
"sync","Annual","Global","50%","per_threshold","logit slope per year",0.0113108211573499,0.0103223853997834,-0.000988435757566453,-0.00819423624334356,0.00621736472821065,0.787590472561595,50,NA
"sync","Annual","Within Americas","50%","per_threshold","logit slope per year",0.0106136974745671,0.000118803425099914,-0.0104948940494672,-0.0249630919778156,0.00397330387888131,0.154674711747438,50,NA
"sync","Annual","Within Asia","50%","per_threshold","logit slope per year",0.0126859434984081,0.0149939073063576,0.00230796380794949,-0.0108042954123216,0.0154202230282206,0.729863667697897,50,NA
"sync","Annual","Americas-Asia","50%","per_threshold","logit slope per year",0.0111591286110882,0.0143008711133923,0.00314174250230411,-0.00652525060719335,0.0128087356118016,0.523502933678489,50,NA
"power","Multiannual","Global","50%","per_threshold","log slope per year",0.00810756893154205,0.0318258789579088,0.0237183100263668,-0.00194630368351868,0.0493829237362523,0.070088732601555,50,2.40018262124964
"power","Multiannual","Americas","50%","per_threshold","log slope per year",0.00252421839107889,0.0356317317928386,0.0331075134017597,-0.00375834930839616,0.0699733761119155,0.0783786375032701,50,3.36616657493574
"power","Multiannual","Asia","50%","per_threshold","log slope per year",0.015086757107121,0.0270184859032608,0.0119317287961398,-0.0230536857364841,0.0469171433287637,0.503842959800614,50,1.20031958310824
"sync","Multiannual","Global","50%","per_threshold","logit slope per year",0.021824727584116,0.0376397283191159,0.015815000735,0.00800932535118065,0.0236206761188193,7.71074181763468e-05,50,NA
"sync","Multiannual","Within Americas","50%","per_threshold","logit slope per year",0.0290246618280608,0.0437561072163788,0.0147314453883179,-6.33200410792758e-05,0.0295262108177151,0.0509866209447881,50,NA
"sync","Multiannual","Within Asia","50%","per_threshold","logit slope per year",0.0206115325082385,0.030292759763104,0.00968122725486548,-0.00516317578876482,0.0245256302984958,0.201000717266577,50,NA
"sync","Multiannual","Americas-Asia","50%","per_threshold","logit slope per year",0.0179657811665825,0.0366408216539772,0.0186750404873947,0.00795690731044115,0.0293931736643483,0.000660336168196226,50,NA
"power","Annual","Global","20%","fixed_support","log slope per year",0.0453181184003902,0.0453546689928773,3.65505924870685e-05,-0.0485209932617813,0.0485940944467554,0.998822866538676,50,0.00365512604680873
