"threshold","variant","Cycle","Region","N","Power_Start","Power_End","Pct_Change","CI_Lower","CI_Upper","P_value","Interaction_P","Diff_AsiaMinusAmericas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum_1990_2024","Cum_CI_Lower_1990_2024","Cum_CI_Upper_1990_2024","Weighting","m","Within_SD_logslope","Between_SD_logslope","FMI","N_Inc","N_Tot","Pct_Inc"
"none","per_threshold","Annual","Global",46,0.630098815558045,1.02189892100385,1.50204368569888,-0.784372046764992,3.84114967482396,0.199651336324543,NA,NA,NA,NA,66.0132473118282,-23.4891713844555,260.215655505512,"countries",50,0.0115079618131141,0.00162416726428411,0.0199126759186138,10,46,21.7391304347826
"none","per_threshold","Annual","Americas",25,0.536167833961925,0.836082368701061,1.39805736843557,-1.68480633646637,4.57759024794677,0.378132098885522,NA,NA,NA,NA,60.3273367513363,-43.8820591172785,358.050571803692,"countries",50,0.0156101588899489,0.00209495529005696,0.0180396861777782,5,25,20
"none","per_threshold","Annual","Asia",21,0.741921412696283,1.2431091023167,1.62597597351191,-1.75350420698409,5.12170341756857,0.349921932006275,0.923506510989297,0.227918605076338,-4.39374762255776,4.84939308897749,73.045695126464,-45.2000262759915,446.438448175423,"countries",50,0.0170320796960663,0.00273696577075927,0.0256633059389088,5,21,23.8095238095238
"none","per_threshold","Multiannual","Global",45,1.56428582948147,2.01508400576278,0.814052427088785,-0.729717895908921,2.38183020488216,0.303062528736478,NA,NA,NA,NA,31.7396372475556,-22.0430739962128,122.627198271958,"countries",50,0.00747468587120715,0.0024433378384348,0.098277526030024,12,45,26.6666666666667
"none","per_threshold","Multiannual","Americas",25,1.62087289067816,1.74838302882476,0.25274069125989,-1.77271178075483,2.31995811261572,0.80845466086954,NA,NA,NA,NA,8.96139130643663,-45.5631163835397,118.098171803583,"countries",50,0.0100283434310859,0.00277382492705569,0.0723879456888347,6,25,24
"none","per_threshold","Multiannual","Asia",20,1.4935520029856,2.3484602269353,1.52011367089906,-0.828622534405976,3.92447642796823,0.206427353518219,0.426512093168005,1.26737297963917,-1.77698189981518,4.42213167999061,67.0210625687735,-24.6408922856061,270.174703332825,"countries",50,0.0112120288068107,0.00406121023896125,0.118030985792045,6,20,30
"20%","per_threshold","Annual","Global",43,0.298095018770555,0.877491213338782,4.63989193540626,1.09686036777787,8.3070922719118,0.00986064980486482,NA,NA,NA,NA,367.420336848701,44.9041182729603,1407.76785300327,"countries",50,0.0175259249237205,0.00129541379333066,0.00554168575218795,10,40,25
"20%","per_threshold","Annual","Americas",23,0.0831421637492717,0.676502416085778,6.77055517117839,1.6699520705256,12.1270465796406,0.00871371886647399,NA,NA,NA,NA,827.579263332508,75.6099179223508,4799.51421846756,"countries",50,0.0248967088433493,0.00195802844180757,0.00626935648381675,8,21,38.0952380952381
"20%","per_threshold","Annual","Asia",20,0.545290802045031,1.10862833017974,2.2421400620426,-2.55656564682043,7.27716314449911,0.365965011562918,0.215483960304909,-4.5284151091358,-11.6640713340812,2.75719305156797,112.528737775759,-58.54396226689,989.55092793353,"countries",50,0.0244967666904032,0.00120370156346696,0.00245669954468726,2,19,10.5263157894737
"20%","per_threshold","Multiannual","Global",40,0.698025152727637,2.04763402657672,4.37640257720358,1.65684170188396,7.16871813613078,0.00147357719019312,NA,NA,NA,NA,329.021474404551,74.8416256055264,952.720854446443,"countries",50,0.0132936585626468,0.0021498608651596,0.025983529331217,11,34,32.3529411764706
"20%","per_threshold","Multiannual","Americas",21,0.517860671824752,2.02978939400393,5.39423309133544,1.22998994019001,9.7297784527459,0.0106399624593339,NA,NA,NA,NA,496.723075730169,51.5348716512457,2249.81179730287,"countries",50,0.0203431171347213,0.00300280008329711,0.021740625210215,4,19,21.0526315789474
"20%","per_threshold","Multiannual","Asia",19,0.897154315830826,2.06735704152558,3.26286417876871,-0.133210735757172,6.77442618274688,0.0598573551358212,0.445634493061935,-2.13136891256673,-7.73933215447546,3.3748838607659,197.921380285676,-4.43101503732914,828.723360052332,"countries",50,0.0166643304987338,0.00362138191283975,0.0459559264431301,7,15,46.6666666666667
"30%","per_threshold","Annual","Global",45,0.339774228201556,0.921444061008768,3.73138335974039,0.624291874088589,6.934416067143,0.0182228383611147,NA,NA,NA,NA,247.492766809612,23.5652812190846,877.226141466906,"countries",50,0.015391837683108,0.00193973571261555,0.0159413583701293,10,44,22.7272727272727
"30%","per_threshold","Annual","Americas",25,0.155043078797069,0.716397630021725,4.89914052741001,0.567423964894442,9.41743607980328,0.0262202992304614,NA,NA,NA,NA,408.446914722379,21.2129658509254,2032.76082534476,"countries",50,0.021299529921074,0.00301414716388114,0.0200173881095857,8,24,33.3333333333333
"30%","per_threshold","Annual","Asia",20,0.570688164957166,1.17775209974257,2.2899507265113,-2.06324213834105,6.8366387461182,0.307545735623926,0.414502353656999,-2.6091898008987,-8.84547028345864,3.77232394381329,115.933965226781,-50.7785302921403,847.299575069682,"countries",50,0.0221470267147285,0.00134937173680751,0.00377216951981698,2,20,10
"30%","per_threshold","Multiannual","Global",40,0.787282684394918,2.14676010926595,4.03613923457669,1.60301385640309,6.52753157630981,0.00104993970329497,NA,NA,NA,NA,283.940322621774,71.7212660927786,758.427000271874,"countries",50,0.0117766291034782,0.00263498048186909,0.0485829531919467,11,35,31.4285714285714
