"threshold","variant","Cycle","Pair_Type","Weighting","N_pairs","Start_Year","End_Year","Sync_Start","Sync_End","Pct_Change_Per_Year","CI_Lower","CI_Upper","Trend_P","Interaction_P","Diff_vs_Americas","Diff_CI_Lower","Diff_CI_Upper","Pct_Change_Cum","Cum_CI_Lower","Cum_CI_Upper","m","Within_SD_logitslope","Between_SD_logitslope","FMI","N_Inc","N_Tot","Pct_Inc"
"none","per_threshold","Annual","Global","pairs",1035,1992,2022,0.148399710759296,0.196613237488784,1.08296542454612,0.610094308518341,1.63012303196621,4.51561632033848e-06,NA,NA,NA,NA,32.4889627363835,18.3028292555502,48.9036909589862,50,0.00146426736696921,0.00183489161350794,0.615635418303571,30,1035,2.89855072463768
"none","per_threshold","Annual","Within Americas","pairs",300,1992,2022,0.151391371694937,0.196973450302133,1.00362563812524,0.271308734976879,1.88482907049834,0.00648084076932027,NA,NA,NA,NA,30.1087691437572,8.13926204930636,56.5448721149503,50,0.00271975592301954,0.00270707640303833,0.502614179195455,7,300,2.33333333333333
"none","per_threshold","Annual","Within Asia","pairs",210,1992,2022,0.154310173235573,0.210716879213731,1.21847023639516,0.340170238135912,2.35683277863567,0.0054731974384612,0.725946470469256,0.214844598269915,-1.01415578961541,1.49784873634712,36.5541070918547,10.2051071440774,70.70498335907,50,0.00325073008959959,0.00310913371216509,0.48268983968464,9,210,4.28571428571429
"none","per_threshold","Annual","Americas-Asia","pairs",525,1992,2022,0.144326005234133,0.190765944905464,1.07257038434142,0.487648099697985,1.77804868988346,0.000162997792830297,0.897154152263236,0.0689447462161825,-0.841267652558882,0.956131081759175,32.1771115302427,14.6294429909396,53.3414606965039,50,0.0020559422283156,0.00202895863371223,0.498344875360181,14,525,2.66666666666667
"none","per_threshold","Multiannual","Global","pairs",990,1992,2022,0.167830971673747,0.28074892937094,2.24269208817823,1.6277208399095,2.89539151846645,4.42796265055025e-16,NA,NA,NA,NA,67.280762645347,48.8316251972849,86.8617455539934,50,0.00178943439460094,0.00169738421789665,0.478558205905813,106,990,10.7070707070707
"none","per_threshold","Multiannual","Within Americas","pairs",300,1992,2022,0.169957081270173,0.328452700264248,3.10854202738635,2.02554954887566,4.42448699873124,3.84528813203009e-12,NA,NA,NA,NA,93.2562608215906,60.7664864662697,132.734609961937,50,0.00325066900706861,0.00238972423459077,0.355359448872044,39,300,13
"none","per_threshold","Multiannual","Within Asia","pairs",190,1992,2022,0.180603124307575,0.290301408806237,2.02466568466522,0.902980904365657,3.4887859698217,9.82239075992464e-05,0.210052035515541,-1.08387634272114,-2.84919766325728,0.769754656256053,60.7399705399565,27.0894271309697,104.663579094651,50,0.00408466625452019,0.00322753731723021,0.389066315746049,18,190,9.47368421052632
"none","per_threshold","Multiannual","Americas-Asia","pairs",500,1992,2022,0.161701887915037,0.248496724649543,1.7891944625926,1.02886313168887,2.66280734390743,3.38142383285315e-07,0.0350937024035125,-1.31934756479375,-2.84135718235516,0.0849497947054984,53.6758338777781,30.8658939506662,79.8842203172228,50,0.00251795738568193,0.00229246392202618,0.45813846845638,49,500,9.8
"20%","per_threshold","Annual","Global","pairs",962,1992,2022,0.129562859900304,0.189754761544643,1.54858940519055,0.631808204402451,2.59892142917262,0.000144291021764167,NA,NA,NA,NA,46.4576821557164,18.9542461320735,77.9676428751787,50,0.00321216321659332,0.0023554169032436,0.354194744200075,17,149,11.4093959731544
"20%","per_threshold","Annual","Within Americas","pairs",281,1992,2022,0.138608679811465,0.195359029664463,1.36476181073673,-0.165567776175496,3.60957169639926,0.0842681617509348,NA,NA,NA,NA,40.942854322102,-4.96703328526488,108.287150891978,50,0.0067256879095598,0.00415833512381416,0.280529582171139,1,11,9.09090909090909
