"Table","Group","Quantity","N","Pct_per_yr","CI_Lower","CI_Upper","P_value","Decade","low_per100k_mean","low_per100k_lo","low_per100k_hi","high_per100k_mean","high_per100k_lo","high_per100k_hi","pct_years_with_zero_month_mean","pct_years_with_zero_month_lo","pct_years_with_zero_month_hi","n_countries","n_country_years","pct_years_with_zero_month_reported"
"trend","Established transmission by 1990","log(lowest-month cases + 1)",32,8.83932562695846,6.0586077413421,11.6929502961359,1.41703636493666e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trend","Established transmission by 1990","log(highest-month cases + 1)",32,6.76445801622014,4.35325633446524,9.23137327850256,1.95376963973018e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trend","First reported cases in 1991-1999","log(lowest-month cases + 1)",14,7.95624748963188,4.4374919004446,11.5935585962979,5.95511462526345e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"trend","First reported cases in 1991-1999","log(highest-month cases + 1)",14,18.0251826471301,11.8534368371146,24.537467357161,1.4680925491121e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"by_decade","Established transmission by 1990",NA,NA,NA,NA,NA,NA,"1991-2000",0.329673552670395,0.226134573636583,0.411108114010539,10.0058652881677,8.47986662556647,11.8373265237105,19.85,18.4375,21.5625,21,107,29.9065420560748
"by_decade","Established transmission by 1990",NA,NA,NA,NA,NA,NA,"2001-2010",0.939684031630629,0.754898858086891,1.09470138694152,15.1934228587573,13.9792670633455,16.5225699808475,12.5625,11.5625,13.75,20,148,4.72972972972973
"by_decade","Established transmission by 1990",NA,NA,NA,NA,NA,NA,"2011-2023",2.14085432059846,1.95987853278671,2.30432555225733,23.8506756096005,23.3163352653599,24.1917525508896,12.5288461538462,11.5925480769231,12.9807692307692,32,317,11.3564668769716
"by_decade","First reported cases in 1991-1999",NA,NA,NA,NA,NA,NA,"1991-2000",0,0,0,0.214627217387335,0.159093544552592,0.295065650390769,70.1142857142857,67.3035714285714,72.1428571428571,14,70,98.5714285714286
"by_decade","First reported cases in 1991-1999",NA,NA,NA,NA,NA,NA,"2001-2010",0.384113219893599,0.222757417336339,0.615856877780195,15.3805589024544,12.2519194506097,19.0913169289304,37.1,33.5714285714286,40.7142857142857,7,23,65.2173913043478
"by_decade","First reported cases in 1991-1999",NA,NA,NA,NA,NA,NA,"2011-2023",0.60656347182318,0.286223109851088,1.12347332586254,43.9537151723039,32.5878459515871,48.7056893640334,32.032967032967,29.793956043956,34.4917582417582,14,110,35.4545454545455
