"Cycle","pair_id","ref_prov","other_prov","hemi_type","mean_sync","sd_across_datasets","m"
"Annual","ARGENTINA_AUSTRALIA","ARGENTINA","AUSTRALIA","Within",0.360171960169327,NA,50
"Annual","ARGENTINA_BANGLADESH","ARGENTINA","BANGLADESH","Between",0.154101917317963,NA,50
"Annual","ARGENTINA_BARBADOS","ARGENTINA","BARBADOS","Between",0.142615834633951,NA,50
"Annual","ARGENTINA_BOLIVIA","ARGENTINA","BOLIVIA","Within",0.430644673020516,NA,50
"Annual","ARGENTINA_BRAZIL","ARGENTINA","BRAZIL","Within",0.54019282220247,NA,50
"Annual","ARGENTINA_CAMBODIA","ARGENTINA","CAMBODIA","Between",0.159287806851007,NA,50
"Annual","ARGENTINA_CHINA","ARGENTINA","CHINA","Between",0.0564447009631246,NA,50
"Annual","ARGENTINA_COLOMBIA","ARGENTINA","COLOMBIA","Between",0.224887295182035,NA,50
"Annual","ARGENTINA_COSTA RICA","ARGENTINA","COSTA RICA","Between",0.0983263858892823,NA,50
"Annual","ARGENTINA_DOMINICAN REPUBLIC","ARGENTINA","DOMINICAN REPUBLIC","Between",0.112627616661086,NA,50
"Annual","ARGENTINA_ECUADOR","ARGENTINA","ECUADOR","Within",0.354235824011342,NA,50
"Annual","ARGENTINA_EL SALVADOR","ARGENTINA","EL SALVADOR","Between",0.133166539752107,NA,50
"Annual","ARGENTINA_FIJI","ARGENTINA","FIJI","Within",0.366620181439823,NA,50
"Annual","ARGENTINA_FRENCH GUIANA","ARGENTINA","FRENCH GUIANA","Between",0.339832806102567,NA,50
"Annual","ARGENTINA_FRENCH POLYNESIA","ARGENTINA","FRENCH POLYNESIA","Within",0.210147130030918,NA,50
"Annual","ARGENTINA_GUADELOUPE","ARGENTINA","GUADELOUPE","Between",0.175618677993198,NA,50
"Annual","ARGENTINA_GUATEMALA","ARGENTINA","GUATEMALA","Between",0.0965833775578604,NA,50
"Annual","ARGENTINA_GUYANA","ARGENTINA","GUYANA","Between",0.331242015787117,NA,50
"Annual","ARGENTINA_HONDURAS","ARGENTINA","HONDURAS","Between",0.134481648821943,NA,50
"Annual","ARGENTINA_INDIA","ARGENTINA","INDIA","Between",0.0647840455206108,NA,50
"Annual","ARGENTINA_INDONESIA","ARGENTINA","INDONESIA","Between",0.423455231597704,NA,50
"Annual","ARGENTINA_JAMAICA","ARGENTINA","JAMAICA","Between",0.14158928081324,NA,50
