"scope","Year","region","dengue_total","lwr","upr"
"global",NA,NA,74008031,73780432,74534408
"region",NA,"Caribbean",929048,929006,929105
"region",NA,"East & Southeast Asia",15999949,15856567,16297397
"region",NA,"Europe, Middle East & North Africa",413495,410338,419383
"region",NA,"North & Central America",7075784,7075725,7075898
"region",NA,"Pacific Islands",417775,390783,500550
"region",NA,"South America",43626756,43606828,43694441
"region",NA,"South Asia",4810859,4719722,5210776
"region",NA,"Sub-Saharan Africa",734365,725184,763818
"annual",1990,NA,433204,342361,834388
"annual",1991,NA,479853,479853,479853
"annual",1992,NA,252480,252480,252480
"annual",1993,NA,269057,269057,269057
"annual",1994,NA,393356,393319,393418
"annual",1995,NA,569520,569512,569597
"annual",1996,NA,538550,538547,538557
"annual",1997,NA,705007,705007,705007
"annual",1998,NA,1306932,1306932,1306932
"annual",1999,NA,444297,444297,444297
"annual",2000,NA,512681,512681,512681
"annual",2001,NA,999172,999172,999172
"annual",2002,NA,1312651,1312651,1312651
"annual",2003,NA,818071,818071,818071
"annual",2004,NA,584654,584654,584654
"annual",2005,NA,802703,802703,802703
"annual",2006,NA,948654,948654,948654
"annual",2007,NA,1420722,1420722,1420722
"annual",2008,NA,1411219,1411167,1411356
"annual",2009,NA,1647367,1647367,1647367
"annual",2010,NA,2418287,2418263,2418340
"annual",2011,NA,1557681,1557227,1559731
"annual",2012,NA,1823186,1823145,1823245
"annual",2013,NA,3322998,3322998,3322998
"annual",2014,NA,1874827,1871801,1896589
"annual",2015,NA,3502823,3502187,3504240
"annual",2016,NA,3919043,3919043,3919043
"annual",2017,NA,1887092,1884092,1894544
"annual",2018,NA,1654838,1653889,1656150
"annual",2019,NA,5121082,5118774,5125951
"annual",2020,NA,3211393,3206008,3222895
"annual",2021,NA,2175650,2160504,2228591
"annual",2022,NA,4410431,4395992,4474653
"annual",2023,NA,6604127,6592648,6630433
"annual",2024,NA,14674423,14522052,14979147
