"runs","draws","w_est","w_oth","d_est_pct","d_oth_pct"
1,100,148.5,70,NA,NA
2,200,163.5,71,10.1010101010101,1.42857142857143
3,300,157,71,3.97553516819572,0
4,400,154.5,72,1.59235668789809,1.40845070422535
5,500,154,72,0.323624595469256,0
6,600,151,73,1.94805194805195,1.38888888888889
7,700,153.5,73,1.65562913907285,0
8,800,153.5,73,0,0
9,900,152.5,73,0.651465798045603,0
10,1000,152.5,73,0,0
11,1100,150.5,74,1.31147540983607,1.36986301369863
12,1200,149.5,74,0.664451827242525,0
13,1300,147.5,74,1.33779264214047,0
14,1400,149,74,1.01694915254237,0
15,1500,150,75,0.671140939597315,1.35135135135135
16,1600,149,75,0.666666666666667,0
17,1700,146.5,75,1.67785234899329,0
18,1800,145.5,75,0.68259385665529,0
19,1900,148.5,75,2.06185567010309,0
20,2000,146,75,1.68350168350168,0
21,2100,146,75,0,0
22,2200,145,75,0.684931506849315,0
23,2300,146,75,0.689655172413793,0
24,2400,147.5,75,1.02739726027397,0
25,2500,147,75,0.338983050847458,0
26,2600,146.5,75,0.340136054421769,0
27,2700,146.5,75,0,0
28,2800,146,75,0.341296928327645,0
29,2900,146.5,75,0.342465753424658,0
30,3000,147,75,0.341296928327645,0
31,3100,147.5,75,0.340136054421769,0
32,3200,146.5,75,0.677966101694915,0
33,3300,148,75,1.02389078498294,0
34,3400,147.5,75,0.337837837837838,0
35,3500,148,75,0.338983050847458,0
36,3600,148,75,0,0
37,3700,148.5,75,0.337837837837838,0
38,3800,148.5,75,0,0
39,3900,147,75,1.01010101010101,0
40,4000,146,75,0.680272108843537,0
41,4100,146.5,75,0.342465753424658,0
42,4200,146.5,74,0,1.33333333333333
43,4300,146.5,75,0,1.35135135135135
44,4400,146.5,75,0,0
45,4500,147.5,75,0.68259385665529,0
46,4600,146.5,74,0.677966101694915,1.33333333333333
47,4700,147,74,0.341296928327645,0
48,4800,146,74,0.680272108843537,0
49,4900,146,74,0,0
50,5000,146,74,0,0
