"analysis","cycle","region","quantity","m","point","se","lwr","upr","p","df","within_sd","between_sd","fmi"
"power","Annual","Global","log_slope_per_year",50,0.0149087471255193,0.0116242790233092,-0.00787464425683715,0.0376921385078758,0.199651336376504,123576.76698731,0.0115079618144712,0.00162416726428412,0.0199126759140111
"power","Annual","Americas","log_slope_per_year",50,0.0138837468832594,0.0157528941800421,-0.0169916065551664,0.0447591003216852,0.378132098940742,150569.886782735,0.0156101588917897,0.00209495529005696,0.0180396861736003
"power","Annual","Asia","log_slope_per_year",50,0.0161289855091621,0.0172549279947639,-0.0176906021075071,0.0499485731258313,0.349921932061635,74399.6474473952,0.0170320796980748,0.00273696577075927,0.0256633059330115
"power","Annual","Asia","log_slope_diff_Asia_minus_Americas",50,0.0022452386259027,0.0233835215212612,-0.0435862633136732,0.0480767405654786,0.923506510998076,86416.1959268482,0.0231034369622464,0.003572811172358,0.0238122518776498
"power","Multiannual","Global","log_slope_per_year",50,0.00810756893154205,0.0078714818593353,-0.00732393360455543,0.0235390714676395,0.30306252873663,5073.26618311576,0.00747468587120977,0.0024433378384348,0.098277526029962
"power","Multiannual","Americas","log_slope_per_year",50,0.00252421839107889,0.0104122840334073,-0.0178861251239485,0.0229345619061063,0.808454660869601,9351.11883889759,0.0100283434310894,0.00277382492705569,0.0723879456887877
"power","Multiannual","Asia","log_slope_per_year",50,0.015086757107121,0.0119387137976411,-0.00832074694406654,0.0384942611583085,0.206427353518358,3517.25626040691,0.0112120288068146,0.00406121023896125,0.118030985791972
"power","Multiannual","Asia","log_slope_diff_Asia_minus_Americas",50,0.0125625387160421,0.0157973260762031,-0.0184063073930393,0.0435313848251235,0.426512093168152,5631.57384755536,0.015042515146634,0.00477721811956846,0.0932788425034797
"synchrony","Annual","Global","logit_slope_per_year",50,0.0113108211573499,0.00236183037148305,0.00663797952723972,0.01598366278746,4.51561634534239e-06,129.285222086285,0.00146426736823284,0.00183489161350794,0.615635417895164
"synchrony","Annual","Within Americas","logit_slope_per_year",50,0.010613697474567,0.00385641027362128,0.00300781644117704,0.018219578507957,0.00648084079082255,193.966445931549,0.00271975592536662,0.00270707640303838,0.502614178763989
"synchrony","Annual","Within Asia","logit_slope_per_year",50,0.0126859434984081,0.00451965627261528,0.00377630912819893,0.0215955778686172,0.00547319745811102,210.309923893479,0.00325073009240489,0.00310913371216509,0.482689839253669
"synchrony","Annual","Americas-Asia","logit_slope_per_year",50,0.0111591286110882,0.00290274095529182,0.00543474856052033,0.0168835086616561,0.000162997793778324,197.304089772537,0.00205594223008983,0.00202895863371223,0.498344874928698
"synchrony","Annual","Within Asia","logit_slope_diff_vs_Americas",50,0.00207224602384103,0.00590392366596802,-0.00956674486805344,0.0137112369157355,0.725946470585565,208.639754652348,0.00423843348741414,0.0040694939014652,0.484617963609359
"synchrony","Annual","Americas-Asia","logit_slope_diff_vs_Americas",50,0.000545431136521173,0.00421711022863853,-0.00774452034962015,0.0088353826226625,0.897154152320775,408.401857457364,0.00340939448392725,0.00245749113525503,0.346381098902739
"synchrony","Multiannual","Global","logit_slope_per_year",50,0.021824727584116,0.00247806595991381,0.0169401782935797,0.0267092768746522,4.42796268220267e-16,213.957022401367,0.00178943439523657,0.00169738421789665,0.478558205728534
"synchrony","Multiannual","Within Americas","logit_slope_per_year",50,0.0290246618280608,0.00404868454646221,0.0210645574219469,0.0369847662341747,3.84528816746125e-12,388.025569607316,0.00325066900822328,0.00238972423459084,0.355359448709314
