"scope","Year","dengue_total","lwr","upr"
"global",NA,73999631,73782267,74527724
"annual",1990,429186,342522,897493
"annual",1991,479853,479853,479853
"annual",1992,252480,252480,252480
"annual",1993,269057,269057,269057
"annual",1994,393347,393331,393368
"annual",1995,569516,569512,569521
"annual",1996,538549,538547,538552
"annual",1997,705007,705007,705007
"annual",1998,1306932,1306932,1306932
"annual",1999,444297,444297,444297
"annual",2000,512681,512681,512681
"annual",2001,999172,999172,999172
"annual",2002,1312651,1312651,1312651
"annual",2003,818071,818071,818071
"annual",2004,584654,584654,584654
"annual",2005,802703,802703,802703
"annual",2006,948654,948654,948654
"annual",2007,1420722,1420722,1420722
"annual",2008,1411204,1411175,1411242
"annual",2009,1647367,1647367,1647367
"annual",2010,2418289,2418264,2418339
"annual",2011,1557381,1557288,1557573
"annual",2012,1823207,1823155,1823265
"annual",2013,3322998,3322998,3322998
"annual",2014,1872253,1871905,1872507
"annual",2015,3502858,3502180,3504384
"annual",2016,3919043,3919043,3919043
"annual",2017,1885050,1883896,1887619
"annual",2018,1654642,1654270,1655246
"annual",2019,5122661,5120099,5125053
"annual",2020,3213953,3208386,3228421
"annual",2021,2173741,2158069,2203988
"annual",2022,4405001,4398870,4413299
"annual",2023,6605380,6590414,6620887
"annual",2024,14677071,14526602,14981677
