"scope","Year","dengue_total","lwr","upr"
"global",NA,73985627,73769342,74499156
"annual",1990,420239,341956,748968
"annual",1991,479853,479853,479853
"annual",1992,252480,252480,252480
"annual",1993,269057,269057,269057
"annual",1994,393345,393342,393353
"annual",1995,569513,569513,569515
"annual",1996,538547,538547,538547
"annual",1997,705007,705007,705007
"annual",1998,1306932,1306932,1306932
"annual",1999,444297,444297,444297
"annual",2000,512681,512681,512681
"annual",2001,999172,999172,999172
"annual",2002,1312651,1312651,1312651
"annual",2003,818071,818071,818071
"annual",2004,584654,584654,584654
"annual",2005,802703,802703,802703
"annual",2006,948654,948654,948654
"annual",2007,1420722,1420722,1420722
"annual",2008,1411221,1411207,1411235
"annual",2009,1647367,1647367,1647367
"annual",2010,2418300,2418265,2418334
"annual",2011,1557718,1557410,1558025
"annual",2012,1823205,1823198,1823212
"annual",2013,3322998,3322998,3322998
"annual",2014,1873081,1872211,1873953
"annual",2015,3502908,3502196,3504348
"annual",2016,3919043,3919043,3919043
"annual",2017,1886132,1884779,1887486
"annual",2018,1654329,1654045,1654721
"annual",2019,5122112,5121703,5122648
"annual",2020,3211522,3208574,3214575
"annual",2021,2171170,2168720,2174874
"annual",2022,4405819,4403494,4408327
"annual",2023,6603346,6598504,6608799
"annual",2024,14676778,14514867,14971652
